# Lines and pixel of Lamp
#
#
# nist [A]  spec [px]   err [px]
# Ar
4158.590    187.5   1.5
4199.495    204.0   1
4510.733    327.5   1.5
4545.052    343.0   1
4764.865    430.5   1       
# Hbeta
4861.330    469.0   0.5
# Ar
5187.746    602.0   2
5606.733    770.0   1
# Ne
5852.488    870.0   1
# Ar+Ne
5943.751    907.5   0.5
6031.062    944.0   1
# Ne
6074.338    960.0   1
# Ar+Ne
6097.483    969.0   1
6144.252    990.0   0.5
# Ne
6266.495    1040    1
6334.428    1068    2
# Ar+Ne
6384.717    1088.5  1.5
# Ar
6409.276    1097    1
# Ne
6506.528    1140    0.5
# Halpha    
6562.820    1164    0.2
# Ar+Ne
6601.903    1178.5  1.5
# Ne
6717.043    1229.5  1.0
# Ar
6752.834    1244    1.0
6871.289    1294    1.0
# Ar+Ne
6933.565    1218.5  1.0
# Ar
6965.431    1334    0.5
# Ar+Ne
7031.332    1362    2.5
# Ar
7067.218    1375    0.5    
7147.042    1412    1.0
7272.936    1466.5  1.0
7383.980    1514    0.5
7509.260    1568    0.2
7635.106    1625.5  0.5
7723.761    1665    0.5
7948.176    1766    0.2
8010.471    1795.5  0.5
8109.502    1842    0.5
# Ar+Ne
8265.299    1911    0.5
