# Lines and pixel of Lamp
#
#
# nist [A]  spec [px]   err [px]
# Ar
4199.495    2.000   1.0
4510.733    90.00   0.5
4545.052    100.0   1.0
4764.865    162.0   1.0       
# Hbeta
4861.330    190.0   1.0
# Ar
5187.746    283.0   2.0
5606.733    401.0   1.0
# Ne
5852.488    472.0   1.0
# Ar+Ne
5943.751    499.0   1.0
6031.062    524.0   0.5
# Ne
6074.338    536.5   0.5
# Ar+Ne
6097.483    543.0   1.0
6144.252    556.0   0.5
# Ne
6266.495    592.0   0.5
6334.428    612.5   1.5
# Ar+Ne
6384.717    627.0   1.0
# Ar
6409.276    632.5   0.5
# Ne
6506.528    663.0   1.0
# Halpha    
6562.820    680.0   1.0
# Ar+Ne
6601.903    691.0   1.0
# Ne
6717.043    726.0   1.0
# Ar
6752.834    737.0   1.0
6871.289    773.0   2.0 
# Ar+Ne
6933.565    790.0   1.0
# Ar
6965.431    800.5   0.5
# Ar+Ne
7031.332    821.5   1.5
# Ar
7067.218    831.5   0.5    
7147.042    856.0   1.0
7272.936    895.0   1.0
7383.980    929.5   0.5
7509.260    967.0   0.5
7635.106    1008    0.5
