# Lines and pixel of Lamp
#
#
# nist [A]  spec [px]   err [px]
# Ar
4158.590    6.5000  0.5
4199.495    22.000  1.0
4428.095    114.00  1.0
4510.733    148.00  0.5
4428.095    114.00  1.0
4545.052    162.00  1.0
4657.901    206.00  1.5
4764.865    250.00  1.0       
# Hbeta
4861.330    288.50  0.5
# Ar
4879.864    296.50  1.5
5187.746    421.50  1.5
# Ne
5852.488    688.50  0.5
# Ar+Ne
5943.751    727.00  1.0
6031.062    762.00  1.0
# Ne
6074.338    779.5   1.5
# Ar+Ne
6097.483    788.50  0.5
6144.252    807.50  0.5
# Ne
6266.495    858.50  0.5
6334.428    886.00  1.0
# Ar+Ne
6384.717    908.00  1.0
# Ar
6409.276    915.00  0.5
# Ne
6506.528    959.00  1.0
# Halpha    
6562.820    982.50  0.5
# Ar+Ne
6601.903    998.00  1.5
# Ne
6717.043    1057.5  1.0
# Ar
6752.834    1062.5  1.5
6871.289    1112.0    2.0
# Ar+Ne
6933.565    1137.5  1.5
# Ar
6965.431    1153.0  1.0
# Ar+Ne
7031.332    1181.0  1.0
# Ar
7067.218    1196.0  1.0    
7147.042    1230.5  1.5
7272.936    1285.0  1.0
7383.980    1333.5  1.5
7509.260    1387.0  1.0
7635.106    1444.5  0.5
7723.761    1464.0  1.0
7948.176    1585.0  0.5
8010.471    1613.5  1.5
8109.502    1671.0  0.5
# Ar+Ne
8265.299    1730.0  1.0
