# wL	I
3945.68386061884	-456.194380843737
3945.74426453076	217.992846748906
3945.80466285284	282.344073437886
3945.8650555851	282.344073437886
3945.92544272753	61.3764008541782
3945.98582428012	-527.273081673558
3946.04620024288	-769.081652825651
3946.10657061582	-1050.40404064645
3946.16693539893	-1050.40404064645
3946.22729459221	-735.36670414265
3946.28764819566	58.7030089911665
3946.34799620927	326.7513283335
3946.40833863306	471.336338807833
3946.46867546702	488.082115982735
3946.52900671115	534.917883469749
3946.58933236544	488.082115982735
3946.64965242992	435.330296507874
3946.70996690456	283.145377061141
3946.77027578936	143.761332546809
3946.83057908434	-116.475347100545
3946.89087678949	-116.475347100545
3946.95116890482	-291.3859388167
3947.0114554303	-291.3859388167
3947.07173636597	-206.33411086194
3947.1320117118	19.5176565363002
3947.1922814678	304.150052393795
3947.25254563397	367.623895606452
3947.31280421032	509.811288174537
3947.37305719682	576.430092629316
3947.43330459351	576.430092629316
3947.49354640037	443.169851963112
3947.55378261739	409.564964807205
3947.61401324458	369.171566252779
3947.67423828194	173.35218587009
3947.73445772948	-98.6323567676797
3947.79467158718	-396.846771641317
3947.85487985506	-414.66925039308
3947.9150825331	-414.66925039308
3947.97527962132	-242.495994197918
3948.0354711197	60.5351194065985
3948.09565702826	98.7166929307533
3948.15583734698	226.448777350568
3948.21601207588	226.448777350568
3948.27618121495	-28.3107942709557
3948.33634476419	-394.505506525191
3948.39650272359	-697.437564610519
3948.45665509317	-719.423675496659
3948.51680187292	-719.423675496659
3948.57694306284	-471.333886809563
3948.63707866292	-398.953499896837
3948.69720867319	4.40084045253098
3948.75733309361	220.41427504898
3948.81745192422	277.939431755056
3948.87756516498	246.949019898472
3948.93767281592	246.949019898472
3948.99777487703	102.727003075128
3949.05787134831	-221.57413336797
3949.11796222977	-344.503003589995
3949.17804752139	-753.696156294946
3949.23812722318	-753.696156294946
3949.29820133514	-644.602226941336
3949.35826985727	-118.840444973189
3949.41833278958	-118.840444973189
3949.47839013205	-118.840444973189
3949.53844188469	132.941171999776
3949.5984880475	466.106370706337
3949.65852862049	466.106370706337
3949.71856360364	392.787284849534
3949.77859299696	332.977300964451
3949.83861680046	303.184789224245
3949.89863501412	332.977300964451
3949.95864763795	303.184789224245
3950.01865467196	113.127921546088
