# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.8279e+03	2.4e+00	2.1760e-01	5.1e-03
3.8315e+03	2.4e+00	2.1250e-01	3.5e-03
3.8352e+03	2.4e+00	2.3101e-01	5.0e-03
3.8389e+03	2.4e+00	2.5027e-01	8.0e-03
3.8426e+03	2.4e+00	2.4262e-01	5.1e-03
3.8463e+03	2.4e+00	2.4893e-01	4.4e-03
3.8500e+03	2.4e+00	2.7433e-01	8.4e-03
3.8537e+03	2.4e+00	2.8541e-01	1.1e-02
3.8574e+03	2.4e+00	3.1231e-01	9.7e-03
3.8611e+03	2.4e+00	3.7659e-01	1.2e-02
3.8648e+03	2.4e+00	4.3946e-01	1.6e-02
3.8685e+03	2.4e+00	4.7188e-01	1.5e-02
3.8722e+03	2.4e+00	4.6555e-01	1.1e-02
3.8759e+03	2.4e+00	4.6563e-01	1.5e-02
3.8795e+03	2.4e+00	4.8383e-01	1.7e-02
3.8832e+03	2.4e+00	5.0784e-01	1.8e-02
3.8869e+03	2.4e+00	5.5116e-01	2.0e-02
3.8906e+03	2.4e+00	5.1994e-01	1.6e-02
3.8943e+03	2.4e+00	4.6219e-01	1.1e-02
3.8980e+03	2.4e+00	3.8824e-01	1.4e-02
3.9017e+03	2.4e+00	3.0958e-01	7.5e-03
3.9054e+03	2.4e+00	2.3000e-01	6.9e-03
3.9090e+03	2.4e+00	1.9429e-01	5.9e-03
3.9127e+03	2.4e+00	2.3654e-01	7.4e-03
3.9164e+03	2.4e+00	3.2075e-01	1.1e-02
3.9201e+03	2.4e+00	4.2904e-01	1.7e-02
3.9238e+03	2.4e+00	5.1889e-01	1.6e-02
3.9275e+03	2.4e+00	6.0233e-01	2.0e-02
3.9312e+03	2.4e+00	6.1696e-01	2.4e-02
3.9348e+03	2.4e+00	5.5637e-01	2.2e-02
3.9385e+03	2.4e+00	4.3093e-01	1.3e-02
3.9422e+03	2.4e+00	2.9237e-01	8.3e-03
3.9459e+03	2.4e+00	2.6000e-01	7.8e-03
3.9496e+03	2.4e+00	3.4906e-01	9.4e-03
3.9532e+03	2.4e+00	5.4282e-01	1.2e-02
3.9569e+03	2.4e+00	6.9891e-01	1.8e-02
3.9606e+03	2.4e+00	8.1439e-01	2.5e-02
3.9643e+03	2.4e+00	8.6910e-01	2.7e-02
3.9680e+03	2.4e+00	9.2553e-01	2.4e-02
3.9716e+03	2.4e+00	9.3937e-01	2.5e-02
3.9753e+03	2.4e+00	9.8545e-01	2.8e-02
3.9790e+03	2.4e+00	1.0383e+00	1.7e-02
3.9827e+03	2.4e+00	1.0452e+00	2.3e-02
3.9864e+03	2.4e+00	1.0634e+00	3.6e-02
3.9900e+03	2.4e+00	1.1252e+00	2.8e-02
3.9937e+03	2.4e+00	1.1650e+00	3.0e-02
3.9974e+03	2.4e+00	1.1641e+00	2.9e-02
4.0011e+03	2.4e+00	1.1586e+00	3.2e-02
4.0047e+03	2.4e+00	1.1663e+00	3.6e-02
4.0084e+03	2.4e+00	1.1197e+00	3.7e-02
4.0121e+03	2.4e+00	1.0958e+00	3.2e-02
4.0158e+03	2.4e+00	1.1040e+00	3.1e-02
4.0194e+03	2.4e+00	1.1523e+00	2.8e-02
4.0231e+03	2.4e+00	1.0723e+00	3.1e-02
4.0268e+03	2.4e+00	1.0440e+00	2.8e-02
4.0304e+03	2.4e+00	1.0787e+00	2.7e-02
4.0341e+03	2.4e+00	1.0904e+00	3.2e-02
4.0378e+03	2.4e+00	1.0997e+00	2.9e-02
