# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
4.1075e+03	2.4e+00	4.13480e+02	7.2e+00
4.1111e+03	2.4e+00	4.30130e+02	7.9e+00
4.1148e+03	2.4e+00	4.30636e+02	7.4e+00
4.1184e+03	2.4e+00	3.74036e+02	5.7e+00
4.1221e+03	2.4e+00	2.78619e+02	7.7e+00
4.1258e+03	2.4e+00	2.24518e+02	5.7e+00
4.1294e+03	2.4e+00	2.33094e+02	4.6e+00
4.1331e+03	2.4e+00	2.67137e+02	7.3e+00
4.1367e+03	2.4e+00	3.65221e+02	8.2e+00
4.1404e+03	2.4e+00	6.45987e+02	1.1e+01
4.1441e+03	2.4e+00	7.61423e+02	8.2e+00
4.1477e+03	2.4e+00	6.51517e+02	1.1e+01
4.1514e+03	2.4e+00	3.95226e+02	9.0e+00
4.1550e+03	2.4e+00	2.88647e+02	7.9e+00
4.1587e+03	2.4e+00	2.99963e+02	5.6e+00
4.1623e+03	2.4e+00	3.53611e+02	6.9e+00
4.1660e+03	2.4e+00	4.00573e+02	7.9e+00
4.1697e+03	2.4e+00	4.35158e+02	8.7e+00
4.1733e+03	2.4e+00	5.39418e+02	9.5e+00
4.1770e+03	2.4e+00	5.85802e+02	8.9e+00
4.1806e+03	2.4e+00	9.41259e+02	1.2e+01
4.1843e+03	2.4e+00	1.26170e+03	1.2e+01
4.1879e+03	2.4e+00	1.23309e+03	1.1e+01
4.1916e+03	2.4e+00	8.09444e+02	1.3e+01
4.1952e+03	2.4e+00	3.71710e+02	8.1e+00
4.1989e+03	2.4e+00	2.82425e+02	5.5e+00
4.2025e+03	2.4e+00	3.01929e+02	6.8e+00
4.2062e+03	2.4e+00	2.82264e+02	6.8e+00
4.2098e+03	2.4e+00	3.20868e+02	6.0e+00
4.2135e+03	2.4e+00	3.47831e+02	6.9e+00
4.2171e+03	2.4e+00	3.23624e+02	7.3e+00
4.2208e+03	2.4e+00	3.09464e+02	7.6e+00
4.2244e+03	2.4e+00	2.86636e+02	6.4e+00
4.2281e+03	2.4e+00	2.62485e+02	5.4e+00
4.2317e+03	2.4e+00	2.32148e+02	6.2e+00
4.2354e+03	2.4e+00	2.35794e+02	3.8e+00
4.2390e+03	2.4e+00	2.66679e+02	5.6e+00
4.2427e+03	2.4e+00	4.78596e+02	8.8e+00
4.2463e+03	2.4e+00	6.84796e+02	8.8e+00
4.2500e+03	2.4e+00	7.27841e+02	7.9e+00
4.2536e+03	2.4e+00	5.96683e+02	7.2e+00
4.2572e+03	2.4e+00	4.73691e+02	6.7e+00
4.2609e+03	2.4e+00	5.50344e+02	6.4e+00
4.2645e+03	2.4e+00	6.35537e+02	5.9e+00
4.2682e+03	2.4e+00	5.63234e+02	7.7e+00
4.2718e+03	2.4e+00	4.04322e+02	5.9e+00
4.2755e+03	2.4e+00	2.39535e+02	5.4e+00
4.2791e+03	2.4e+00	2.00489e+02	5.8e+00
4.2827e+03	2.4e+00	2.29921e+02	4.5e+00
4.2864e+03	2.4e+00	2.91976e+02	6.0e+00
4.2900e+03	2.4e+00	3.20257e+02	4.7e+00
4.2937e+03	2.4e+00	3.11266e+02	4.9e+00
4.2973e+03	2.4e+00	2.62902e+02	5.1e+00
4.3010e+03	2.4e+00	2.42546e+02	4.3e+00
4.3046e+03	2.4e+00	2.43062e+02	4.6e+00
4.3082e+03	2.4e+00	2.12730e+02	6.1e+00
4.3119e+03	2.4e+00	2.05481e+02	5.7e+00
4.3155e+03	2.4e+00	2.25498e+02	4.5e+00
4.3191e+03	2.4e+00	3.59906e+02	5.3e+00
4.3228e+03	2.4e+00	4.84256e+02	4.1e+00
4.3264e+03	2.4e+00	5.28303e+02	5.7e+00
4.3301e+03	2.4e+00	4.61307e+02	6.6e+00
4.3337e+03	2.4e+00	4.37801e+02	6.7e+00
4.3373e+03	2.4e+00	4.99759e+02	7.0e+00
4.3410e+03	2.4e+00	4.60809e+02	5.3e+00
4.3446e+03	2.4e+00	3.61289e+02	7.0e+00
4.3482e+03	2.4e+00	2.60339e+02	6.1e+00
