# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
4.1111e+03	2.4e+00	4.26326e+02	7.0e+00
4.1148e+03	2.4e+00	4.38255e+02	5.8e+00
4.1184e+03	2.4e+00	3.94382e+02	5.2e+00
4.1221e+03	2.4e+00	3.27401e+02	8.4e+00
4.1258e+03	2.4e+00	2.40147e+02	5.6e+00
4.1294e+03	2.4e+00	2.40876e+02	6.2e+00
4.1331e+03	2.4e+00	2.62109e+02	7.0e+00
4.1367e+03	2.4e+00	3.33312e+02	7.5e+00
4.1404e+03	2.4e+00	5.96849e+02	8.7e+00
4.1441e+03	2.4e+00	7.44885e+02	9.2e+00
4.1477e+03	2.4e+00	6.81218e+02	9.6e+00
4.1514e+03	2.4e+00	4.36611e+02	7.1e+00
4.1550e+03	2.4e+00	3.14771e+02	5.8e+00
4.1587e+03	2.4e+00	2.95353e+02	5.8e+00
4.1623e+03	2.4e+00	3.37062e+02	5.9e+00
4.1660e+03	2.4e+00	4.08094e+02	7.5e+00
4.1697e+03	2.4e+00	4.13206e+02	7.6e+00
4.1733e+03	2.4e+00	5.01036e+02	8.7e+00
4.1770e+03	2.4e+00	5.74406e+02	8.9e+00
4.1806e+03	2.4e+00	8.22770e+02	9.5e+00
4.1843e+03	2.4e+00	1.20389e+03	1.3e+01
4.1879e+03	2.4e+00	1.19417e+03	1.0e+01
4.1916e+03	2.4e+00	8.69897e+02	9.3e+00
4.1952e+03	2.4e+00	4.43019e+02	6.8e+00
4.1989e+03	2.4e+00	3.03261e+02	5.5e+00
4.2025e+03	2.4e+00	2.95227e+02	6.5e+00
4.2062e+03	2.4e+00	3.02607e+02	6.1e+00
4.2098e+03	2.4e+00	3.29128e+02	5.7e+00
4.2135e+03	2.4e+00	3.51578e+02	7.6e+00
4.2171e+03	2.4e+00	3.30266e+02	6.2e+00
4.2208e+03	2.4e+00	3.07782e+02	4.8e+00
4.2244e+03	2.4e+00	2.89123e+02	5.6e+00
4.2281e+03	2.4e+00	2.75777e+02	5.8e+00
4.2317e+03	2.4e+00	2.45449e+02	5.3e+00
4.2354e+03	2.4e+00	2.43295e+02	6.0e+00
4.2390e+03	2.4e+00	2.64832e+02	4.8e+00
4.2427e+03	2.4e+00	3.92406e+02	6.6e+00
4.2463e+03	2.4e+00	6.41266e+02	9.0e+00
4.2500e+03	2.4e+00	6.92629e+02	7.4e+00
4.2536e+03	2.4e+00	6.20875e+02	6.7e+00
4.2572e+03	2.4e+00	4.60764e+02	6.0e+00
4.2609e+03	2.4e+00	5.23965e+02	6.6e+00
4.2645e+03	2.4e+00	6.20565e+02	6.4e+00
4.2682e+03	2.4e+00	5.66220e+02	5.7e+00
4.2718e+03	2.4e+00	4.31807e+02	7.1e+00
4.2755e+03	2.4e+00	2.59475e+02	3.4e+00
4.2791e+03	2.4e+00	2.00754e+02	4.0e+00
4.2827e+03	2.4e+00	2.11774e+02	4.1e+00
4.2864e+03	2.4e+00	2.74437e+02	4.2e+00
4.2900e+03	2.4e+00	3.19131e+02	4.2e+00
4.2937e+03	2.4e+00	3.22513e+02	4.6e+00
4.2973e+03	2.4e+00	2.67475e+02	5.2e+00
4.3010e+03	2.4e+00	2.38172e+02	3.9e+00
4.3046e+03	2.4e+00	2.31071e+02	3.8e+00
4.3082e+03	2.4e+00	2.20063e+02	3.2e+00
4.3119e+03	2.4e+00	2.24586e+02	5.1e+00
4.3155e+03	2.4e+00	2.23965e+02	4.4e+00
4.3191e+03	2.4e+00	3.33882e+02	5.1e+00
4.3228e+03	2.4e+00	4.60611e+02	6.8e+00
4.3264e+03	2.4e+00	4.99297e+02	6.5e+00
4.3301e+03	2.4e+00	4.65526e+02	5.4e+00
4.3337e+03	2.4e+00	4.35427e+02	5.6e+00
4.3373e+03	2.4e+00	4.98165e+02	5.2e+00
4.3410e+03	2.4e+00	4.76587e+02	5.6e+00
4.3446e+03	2.4e+00	3.92337e+02	6.8e+00
4.3482e+03	2.4e+00	2.77780e+02	5.0e+00
4.3519e+03	2.4e+00	2.59061e+02	5.1e+00
4.3555e+03	2.4e+00	2.83923e+02	4.3e+00
4.3591e+03	2.4e+00	3.53083e+02	5.6e+00
4.3628e+03	2.4e+00	3.97573e+02	5.8e+00
4.3664e+03	2.4e+00	4.40385e+02	5.1e+00
4.3700e+03	2.4e+00	4.24137e+02	5.3e+00
4.3737e+03	2.4e+00	3.64520e+02	5.0e+00
4.3773e+03	2.4e+00	3.08696e+02	5.3e+00
4.3809e+03	2.4e+00	2.49041e+02	4.1e+00
4.3845e+03	2.4e+00	2.23377e+02	3.3e+00
4.3882e+03	2.4e+00	2.16979e+02	5.1e+00
4.3918e+03	2.4e+00	2.33685e+02	3.9e+00
4.3954e+03	2.4e+00	2.31190e+02	4.1e+00
4.3991e+03	2.4e+00	2.15192e+02	3.6e+00
4.4027e+03	2.4e+00	1.71620e+02	3.3e+00
4.4063e+03	2.4e+00	1.65842e+02	3.0e+00
4.4099e+03	2.4e+00	1.71754e+02	3.8e+00
4.4136e+03	2.4e+00	2.05213e+02	3.6e+00
4.4172e+03	2.4e+00	2.75197e+02	4.5e+00
4.4208e+03	2.4e+00	3.28937e+02	3.7e+00
4.4244e+03	2.4e+00	3.18595e+02	4.7e+00
4.4281e+03	2.4e+00	2.54755e+02	4.2e+00
4.4317e+03	2.4e+00	2.01753e+02	3.2e+00
4.4353e+03	2.4e+00	1.78173e+02	3.3e+00
