# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.8980e+03	2.4e+00	1.8329e-01	8.2e-03
3.9017e+03	2.4e+00	1.8314e-01	1.0e-02
3.9054e+03	2.4e+00	1.5420e-01	9.4e-03
3.9090e+03	2.4e+00	1.3414e-01	5.5e-03
3.9127e+03	2.4e+00	1.4692e-01	1.2e-02
3.9164e+03	2.4e+00	1.8436e-01	1.1e-02
3.9201e+03	2.4e+00	2.1180e-01	1.1e-02
3.9238e+03	2.4e+00	2.5213e-01	1.7e-02
3.9275e+03	2.4e+00	2.2993e-01	1.8e-02
3.9312e+03	2.4e+00	2.5112e-01	1.2e-02
3.9348e+03	2.4e+00	2.8614e-01	1.7e-02
3.9385e+03	2.4e+00	2.2565e-01	1.7e-02
3.9422e+03	2.4e+00	1.8409e-01	1.2e-02
3.9459e+03	2.4e+00	1.2366e-01	1.7e-02
3.9496e+03	2.4e+00	1.8549e-01	1.1e-02
3.9532e+03	2.4e+00	2.0588e-01	1.9e-02
3.9569e+03	2.4e+00	2.5370e-01	1.3e-02
3.9606e+03	2.4e+00	2.6543e-01	2.0e-02
3.9643e+03	2.4e+00	3.1416e-01	1.4e-02
3.9680e+03	2.4e+00	2.9712e-01	1.4e-02
3.9716e+03	2.4e+00	3.0105e-01	2.1e-02
3.9753e+03	2.4e+00	3.4133e-01	1.7e-02
3.9790e+03	2.4e+00	3.7654e-01	1.3e-02
3.9827e+03	2.4e+00	3.7423e-01	2.2e-02
3.9864e+03	2.4e+00	3.8391e-01	1.4e-02
3.9900e+03	2.4e+00	3.4126e-01	1.2e-02
3.9937e+03	2.4e+00	3.8031e-01	1.6e-02
3.9974e+03	2.4e+00	3.8661e-01	1.1e-02
4.0011e+03	2.4e+00	3.8633e-01	1.4e-02
4.0047e+03	2.4e+00	3.5757e-01	1.6e-02
4.0084e+03	2.4e+00	3.5306e-01	9.9e-03
4.0121e+03	2.4e+00	3.5770e-01	6.8e-03
4.0158e+03	2.4e+00	3.3110e-01	6.2e-03
4.0194e+03	2.4e+00	3.6484e-01	6.3e-03
4.0231e+03	2.4e+00	3.6604e-01	1.3e-02
4.0268e+03	2.4e+00	3.3522e-01	6.8e-03
4.0304e+03	2.4e+00	3.3826e-01	1.5e-02
4.0341e+03	2.4e+00	3.9243e-01	1.5e-02
4.0378e+03	2.4e+00	3.8023e-01	1.1e-02
4.0415e+03	2.4e+00	3.6294e-01	1.5e-02
4.0451e+03	2.4e+00	3.6813e-01	7.1e-03
4.0488e+03	2.4e+00	3.6067e-01	2.8e-03
4.0525e+03	2.4e+00	3.7918e-01	9.8e-03
4.0561e+03	2.4e+00	3.7884e-01	8.5e-03
4.0598e+03	2.4e+00	3.2995e-01	6.4e-03
4.0635e+03	2.4e+00	3.0397e-01	1.1e-02
4.0671e+03	2.4e+00	3.8757e-01	4.7e-03
4.0708e+03	2.4e+00	4.3951e-01	9.9e-03
4.0745e+03	2.4e+00	4.5882e-01	1.3e-02
4.0781e+03	2.4e+00	4.3097e-01	1.1e-02
4.0818e+03	2.4e+00	4.0983e-01	9.1e-03
4.0855e+03	2.4e+00	4.0502e-01	1.5e-02
4.0891e+03	2.4e+00	4.0924e-01	1.1e-02
4.0928e+03	2.4e+00	3.8793e-01	3.0e-03
4.0965e+03	2.4e+00	3.7825e-01	1.4e-02
4.1001e+03	2.4e+00	3.7751e-01	1.3e-02
4.1038e+03	2.4e+00	3.5267e-01	1.0e-02
4.1075e+03	2.4e+00	3.8361e-01	9.7e-03
4.1111e+03	2.4e+00	3.6244e-01	1.3e-02
4.1148e+03	2.4e+00	3.7774e-01	7.4e-03
4.1184e+03	2.4e+00	3.5766e-01	7.6e-03
4.1221e+03	2.4e+00	3.5187e-01	1.2e-02
4.1258e+03	2.4e+00	3.9056e-01	1.0e-02
4.1294e+03	2.4e+00	4.0411e-01	1.2e-02
4.1331e+03	2.4e+00	3.8251e-01	7.7e-03
4.1367e+03	2.4e+00	4.0535e-01	8.7e-03
4.1404e+03	2.4e+00	3.8479e-01	6.0e-03
4.1441e+03	2.4e+00	4.2591e-01	1.8e-02
4.1477e+03	2.4e+00	4.6865e-01	9.6e-03
4.1514e+03	2.4e+00	4.5101e-01	1.4e-02
4.1550e+03	2.4e+00	4.4221e-01	6.1e-03
4.1587e+03	2.4e+00	3.8142e-01	1.2e-02
4.1623e+03	2.4e+00	3.8338e-01	1.2e-02
4.1660e+03	2.4e+00	3.8917e-01	5.0e-03
4.1697e+03	2.4e+00	4.3127e-01	1.2e-02
4.1733e+03	2.4e+00	4.4111e-01	1.1e-02
4.1770e+03	2.4e+00	4.5126e-01	1.6e-02
4.1806e+03	2.4e+00	4.2987e-01	1.5e-02
4.1843e+03	2.4e+00	4.0618e-01	8.1e-03
4.1879e+03	2.4e+00	3.8386e-01	4.5e-03
4.1916e+03	2.4e+00	3.7236e-01	8.2e-03
4.1952e+03	2.4e+00	4.0680e-01	2.2e-03
4.1989e+03	2.4e+00	4.4177e-01	1.0e-02
4.2025e+03	2.4e+00	4.6853e-01	8.2e-03
4.2062e+03	2.4e+00	4.5431e-01	1.2e-02
4.2098e+03	2.4e+00	4.7809e-01	8.8e-03
4.2135e+03	2.4e+00	4.5106e-01	5.9e-03
4.2171e+03	2.4e+00	3.8991e-01	6.0e-03
4.2208e+03	2.4e+00	3.9942e-01	5.7e-03
4.2244e+03	2.4e+00	4.4673e-01	4.5e-03
4.2281e+03	2.4e+00	4.5325e-01	4.4e-03
4.2317e+03	2.4e+00	4.8385e-01	6.2e-03
4.2354e+03	2.4e+00	5.2927e-01	7.5e-03
4.2390e+03	2.4e+00	4.7827e-01	5.8e-03
4.2427e+03	2.4e+00	4.4375e-01	1.0e-02
4.2463e+03	2.4e+00	4.5156e-01	5.7e-03
4.2500e+03	2.4e+00	4.9995e-01	1.1e-02
4.2536e+03	2.4e+00	5.5597e-01	2.4e-03
4.2572e+03	2.4e+00	6.0401e-01	5.7e-03
4.2609e+03	2.4e+00	5.1945e-01	1.5e-02
4.2645e+03	2.4e+00	4.9001e-01	8.2e-03
4.2682e+03	2.4e+00	5.0973e-01	6.6e-03
4.2718e+03	2.4e+00	5.6226e-01	1.3e-02
4.2755e+03	2.4e+00	5.0488e-01	9.4e-03
4.2791e+03	2.4e+00	4.5256e-01	9.6e-03
4.2827e+03	2.4e+00	4.0960e-01	6.0e-03
4.2864e+03	2.4e+00	4.5054e-01	1.0e-02
4.2900e+03	2.4e+00	4.7433e-01	7.6e-03
4.2937e+03	2.4e+00	4.5629e-01	1.1e-02
4.2973e+03	2.4e+00	4.4844e-01	1.1e-02
4.3010e+03	2.4e+00	5.1065e-01	1.3e-02
4.3046e+03	2.4e+00	6.0696e-01	6.4e-03
4.3082e+03	2.4e+00	6.8920e-01	1.5e-02
4.3119e+03	2.4e+00	7.1029e-01	1.4e-02
4.3155e+03	2.4e+00	6.6227e-01	1.1e-02
4.3191e+03	2.4e+00	6.5411e-01	7.7e-03
4.3228e+03	2.4e+00	6.9199e-01	9.1e-03
4.3264e+03	2.4e+00	7.3987e-01	1.2e-02
4.3301e+03	2.4e+00	6.9995e-01	1.1e-02
4.3337e+03	2.4e+00	6.2258e-01	1.3e-02
4.3373e+03	2.4e+00	6.8864e-01	7.1e-03
4.3410e+03	2.4e+00	7.1116e-01	8.3e-03
4.3446e+03	2.4e+00	7.2990e-01	8.3e-03
4.3482e+03	2.4e+00	7.3234e-01	5.4e-03
4.3519e+03	2.4e+00	8.0346e-01	1.1e-02
4.3555e+03	2.4e+00	8.0535e-01	7.8e-03
4.3591e+03	2.4e+00	8.2024e-01	5.3e-03
4.3628e+03	2.4e+00	7.9841e-01	9.0e-03
4.3664e+03	2.4e+00	7.0687e-01	1.1e-02
4.3700e+03	2.4e+00	6.6735e-01	6.4e-03
4.3737e+03	2.4e+00	6.5324e-01	7.9e-03
4.3773e+03	2.4e+00	6.4517e-01	9.8e-03
4.3809e+03	2.4e+00	5.6154e-01	6.9e-03
4.3845e+03	2.4e+00	6.1370e-01	1.1e-02
4.3882e+03	2.4e+00	6.7033e-01	1.1e-02
4.3918e+03	2.4e+00	7.1632e-01	8.0e-03
4.3954e+03	2.4e+00	7.1339e-01	1.0e-02
4.3991e+03	2.4e+00	6.5054e-01	3.3e-03
4.4027e+03	2.4e+00	6.0398e-01	8.2e-03
4.4063e+03	2.4e+00	6.5008e-01	7.9e-03
4.4099e+03	2.4e+00	6.9901e-01	7.8e-03
4.4136e+03	2.4e+00	6.5377e-01	3.0e-03
4.4172e+03	2.4e+00	6.7726e-01	4.6e-03
4.4208e+03	2.4e+00	6.6065e-01	1.0e-02
4.4244e+03	2.4e+00	6.7140e-01	4.1e-03
4.4281e+03	2.4e+00	6.2935e-01	1.4e-02
4.4317e+03	2.4e+00	6.7582e-01	9.1e-03
4.4353e+03	2.4e+00	6.7896e-01	7.6e-03
4.4389e+03	2.4e+00	7.0084e-01	1.2e-02
4.4426e+03	2.4e+00	6.6280e-01	5.5e-03
4.4462e+03	2.4e+00	7.1171e-01	7.2e-03
4.4498e+03	2.4e+00	6.5010e-01	1.2e-02
4.4534e+03	2.4e+00	5.7462e-01	5.1e-03
4.4570e+03	2.4e+00	5.7971e-01	5.8e-03
4.4607e+03	2.4e+00	6.0787e-01	5.8e-03
4.4643e+03	2.4e+00	6.5554e-01	1.1e-02
4.4679e+03	2.4e+00	7.2608e-01	4.7e-03
4.4715e+03	2.4e+00	8.3741e-01	6.7e-03
4.4751e+03	2.4e+00	8.4589e-01	1.7e-02
4.4788e+03	2.4e+00	8.1393e-01	9.2e-03
4.4824e+03	2.4e+00	7.9402e-01	1.5e-02
4.4860e+03	2.4e+00	8.4797e-01	6.4e-03
4.4896e+03	2.4e+00	7.7728e-01	9.2e-03
4.4932e+03	2.4e+00	8.0399e-01	5.2e-03
4.4968e+03	2.4e+00	8.4721e-01	1.7e-02
4.5005e+03	2.4e+00	9.7108e-01	1.2e-02
4.5041e+03	2.4e+00	1.0368e+00	8.5e-03
4.5077e+03	2.4e+00	9.6502e-01	1.8e-02
4.5113e+03	2.4e+00	9.3290e-01	1.4e-02
4.5149e+03	2.4e+00	9.1666e-01	1.9e-02
4.5185e+03	2.4e+00	9.0961e-01	1.1e-02
4.5221e+03	2.4e+00	8.6393e-01	4.8e-03
4.5258e+03	2.4e+00	7.5674e-01	7.2e-03
4.5294e+03	2.4e+00	7.3052e-01	8.2e-03
4.5330e+03	2.4e+00	7.6546e-01	4.4e-03
4.5366e+03	2.4e+00	8.2349e-01	4.6e-03
4.5402e+03	2.4e+00	8.4716e-01	1.6e-02
4.5438e+03	2.4e+00	8.1375e-01	7.4e-03
4.5474e+03	2.4e+00	7.6720e-01	6.0e-03
4.5510e+03	2.4e+00	7.9652e-01	4.2e-03
4.5546e+03	2.4e+00	8.2747e-01	4.7e-03
4.5582e+03	2.4e+00	8.9039e-01	2.3e-03
4.5619e+03	2.4e+00	8.9861e-01	7.4e-03
4.5655e+03	2.4e+00	8.7964e-01	5.1e-03
4.5691e+03	2.4e+00	9.4738e-01	4.1e-03
4.5727e+03	2.4e+00	8.9388e-01	2.0e-03
4.5763e+03	2.4e+00	8.9475e-01	8.5e-03
4.5799e+03	2.4e+00	8.4382e-01	7.3e-03
4.5835e+03	2.4e+00	8.9273e-01	3.4e-03
4.5871e+03	2.4e+00	9.0053e-01	5.1e-03
4.5907e+03	2.4e+00	8.8238e-01	8.9e-03
4.5943e+03	2.4e+00	8.7003e-01	2.3e-03
4.5979e+03	2.4e+00	8.8229e-01	6.0e-03
4.6015e+03	2.4e+00	8.9127e-01	9.8e-03
4.6051e+03	2.4e+00	9.4122e-01	2.9e-03
4.6087e+03	2.4e+00	1.0325e+00	3.0e-03
4.6123e+03	2.4e+00	1.1167e+00	1.6e-02
4.6159e+03	2.4e+00	1.0862e+00	7.7e-03
4.6195e+03	2.4e+00	1.1086e+00	1.6e-02
4.6231e+03	2.4e+00	1.1023e+00	4.1e-03
4.6267e+03	2.4e+00	1.0722e+00	8.5e-03
4.6303e+03	2.4e+00	1.0360e+00	7.7e-03
4.6339e+03	2.4e+00	1.0151e+00	1.3e-02
4.6375e+03	2.4e+00	9.6500e-01	5.6e-03
4.6411e+03	2.4e+00	9.3474e-01	1.1e-02
4.6447e+03	2.4e+00	9.5599e-01	9.4e-03
4.6483e+03	2.4e+00	9.1124e-01	1.0e-02
4.6519e+03	2.4e+00	9.1906e-01	1.0e-02
4.6555e+03	2.4e+00	9.9120e-01	6.9e-03
4.6591e+03	2.4e+00	1.0315e+00	6.6e-03
4.6627e+03	2.4e+00	1.0639e+00	1.4e-02
4.6663e+03	2.4e+00	9.6161e-01	9.8e-03
4.6699e+03	2.4e+00	9.0397e-01	6.9e-03
4.6735e+03	2.4e+00	9.6797e-01	1.8e-02
4.6771e+03	2.4e+00	1.0045e+00	7.6e-03
4.6807e+03	2.4e+00	1.0218e+00	1.1e-02
4.6843e+03	2.4e+00	9.5452e-01	5.2e-03
4.6879e+03	2.4e+00	9.9680e-01	6.1e-03
4.6915e+03	2.4e+00	1.0265e+00	2.1e-03
4.6950e+03	2.4e+00	1.0629e+00	5.3e-03
4.6986e+03	2.4e+00	1.1191e+00	8.2e-03
4.7022e+03	2.4e+00	1.0405e+00	4.5e-03
4.7058e+03	2.4e+00	9.9330e-01	7.6e-03
4.7094e+03	2.4e+00	1.0035e+00	8.2e-03
4.7130e+03	2.4e+00	1.0345e+00	3.9e-03
4.7166e+03	2.4e+00	1.0906e+00	7.3e-03
4.7202e+03	2.4e+00	1.1081e+00	6.6e-03
4.7238e+03	2.4e+00	1.1553e+00	1.0e-02
4.7274e+03	2.4e+00	1.1000e+00	4.0e-03
4.7309e+03	2.4e+00	1.0196e+00	6.9e-03
4.7345e+03	2.4e+00	1.0333e+00	6.2e-03
4.7381e+03	2.4e+00	1.0875e+00	7.4e-03
4.7417e+03	2.4e+00	1.0927e+00	3.5e-03
4.7453e+03	2.4e+00	1.0890e+00	1.8e-03
4.7489e+03	2.4e+00	1.1410e+00	6.4e-03
4.7525e+03	2.4e+00	1.1495e+00	5.5e-03
4.7560e+03	2.4e+00	1.1092e+00	4.5e-03
4.7596e+03	2.4e+00	1.0345e+00	6.8e-03
4.7632e+03	2.4e+00	9.6975e-01	3.8e-03
4.7668e+03	2.4e+00	9.5167e-01	4.3e-03
4.7704e+03	2.4e+00	9.6782e-01	1.2e-02
4.7740e+03	2.4e+00	1.0647e+00	8.2e-03
4.7775e+03	2.4e+00	1.0874e+00	4.0e-03
4.7811e+03	2.4e+00	1.0919e+00	8.4e-03
4.7847e+03	2.4e+00	1.0234e+00	4.8e-03
4.7883e+03	2.4e+00	9.9202e-01	4.2e-03
4.7919e+03	2.4e+00	1.0394e+00	3.3e-03
4.7954e+03	2.4e+00	1.0745e+00	8.5e-03
4.7990e+03	2.4e+00	1.1320e+00	1.0e-02
4.8026e+03	2.4e+00	1.0567e+00	7.9e-03
4.8062e+03	2.4e+00	1.0550e+00	6.0e-03
4.8098e+03	2.4e+00	1.0476e+00	7.0e-03
4.8133e+03	2.4e+00	1.0269e+00	1.1e-02
4.8169e+03	2.4e+00	1.0888e+00	6.6e-03
4.8205e+03	2.4e+00	1.1162e+00	8.3e-03
4.8241e+03	2.4e+00	1.1295e+00	6.7e-03
4.8276e+03	2.4e+00	1.1160e+00	6.0e-03
4.8312e+03	2.4e+00	1.0801e+00	7.2e-03
4.8348e+03	2.4e+00	1.0871e+00	8.6e-03
4.8384e+03	2.4e+00	1.1147e+00	7.5e-03
4.8419e+03	2.4e+00	1.1387e+00	7.5e-03
4.8455e+03	2.4e+00	1.1246e+00	5.7e-03
4.8491e+03	2.4e+00	1.1299e+00	9.8e-03
4.8527e+03	2.4e+00	1.0875e+00	9.6e-03
4.8562e+03	2.4e+00	1.0706e+00	6.5e-03
4.8598e+03	2.4e+00	1.0483e+00	7.1e-03
4.8634e+03	2.4e+00	1.0086e+00	1.1e-02
4.8669e+03	2.4e+00	9.7437e-01	5.3e-03
4.8705e+03	2.4e+00	9.8845e-01	1.0e-02
4.8741e+03	2.4e+00	1.0254e+00	1.3e-02
4.8777e+03	2.4e+00	1.0224e+00	9.4e-03
4.8812e+03	2.4e+00	1.0721e+00	6.3e-03
4.8848e+03	2.4e+00	1.0623e+00	1.0e-02
4.8884e+03	2.4e+00	1.0184e+00	7.6e-03
4.8919e+03	2.4e+00	1.0367e+00	6.9e-03
4.8955e+03	2.4e+00	1.1504e+00	9.3e-03
4.8991e+03	2.4e+00	1.2730e+00	7.2e-03
4.9026e+03	2.4e+00	1.2986e+00	5.4e-03
4.9062e+03	2.4e+00	1.2131e+00	5.9e-03
4.9098e+03	2.4e+00	1.1990e+00	9.5e-03
4.9133e+03	2.4e+00	1.1815e+00	3.7e-03
4.9169e+03	2.4e+00	1.1391e+00	6.1e-03
4.9205e+03	2.4e+00	1.1368e+00	6.7e-03
4.9240e+03	2.4e+00	1.0476e+00	4.0e-03
4.9276e+03	2.4e+00	1.0862e+00	1.4e-02
4.9312e+03	2.4e+00	1.1921e+00	1.3e-02
4.9347e+03	2.4e+00	1.2788e+00	2.0e-03
4.9383e+03	2.4e+00	1.1620e+00	3.5e-03
4.9418e+03	2.4e+00	1.0968e+00	1.1e-02
4.9454e+03	2.4e+00	1.1539e+00	8.2e-03
4.9490e+03	2.4e+00	1.2631e+00	6.4e-03
4.9525e+03	2.4e+00	1.3212e+00	6.9e-03
4.9561e+03	2.4e+00	1.3088e+00	7.9e-03
4.9596e+03	2.4e+00	1.1481e+00	1.3e-02
4.9632e+03	2.4e+00	1.0381e+00	4.8e-03
4.9668e+03	2.4e+00	1.0332e+00	2.5e-03
4.9703e+03	2.4e+00	1.0285e+00	4.0e-03
4.9739e+03	2.4e+00	1.0974e+00	6.2e-03
4.9774e+03	2.4e+00	1.1327e+00	1.4e-02
4.9810e+03	2.4e+00	1.1100e+00	5.2e-03
4.9845e+03	2.4e+00	1.0231e+00	6.7e-03
4.9881e+03	2.4e+00	9.6295e-01	1.1e-02
4.9917e+03	2.4e+00	1.0216e+00	1.3e-02
4.9952e+03	2.4e+00	1.0425e+00	5.3e-03
4.9988e+03	2.4e+00	1.0288e+00	7.9e-03
5.0023e+03	2.4e+00	1.0106e+00	5.0e-03
5.0059e+03	2.4e+00	9.4360e-01	4.7e-03
5.0094e+03	2.4e+00	9.4489e-01	4.9e-03
5.0130e+03	2.4e+00	9.2942e-01	6.4e-03
5.0165e+03	2.4e+00	9.0554e-01	7.4e-03
5.0201e+03	2.4e+00	8.6571e-01	6.4e-03
5.0236e+03	2.4e+00	9.5357e-01	9.3e-03
5.0272e+03	2.4e+00	1.0076e+00	6.8e-03
5.0307e+03	2.4e+00	1.0940e+00	6.5e-03
5.0343e+03	2.4e+00	1.1517e+00	1.1e-02
5.0378e+03	2.4e+00	1.1361e+00	5.5e-03
5.0414e+03	2.4e+00	9.9557e-01	9.7e-03
5.0449e+03	2.4e+00	9.4666e-01	7.2e-03
5.0485e+03	2.4e+00	1.0784e+00	1.3e-02
5.0520e+03	2.4e+00	1.1850e+00	9.4e-03
5.0556e+03	2.4e+00	1.1804e+00	5.0e-03
5.0591e+03	2.4e+00	1.2327e+00	5.7e-03
5.0627e+03	2.4e+00	1.2877e+00	6.8e-03
5.0662e+03	2.4e+00	1.2191e+00	5.7e-03
5.0698e+03	2.4e+00	1.1574e+00	7.6e-03
5.0733e+03	2.4e+00	1.1396e+00	8.4e-03
5.0769e+03	2.4e+00	1.1692e+00	8.0e-03
5.0804e+03	2.4e+00	1.1353e+00	3.6e-03
5.0840e+03	2.4e+00	1.0688e+00	8.0e-03
5.0875e+03	2.4e+00	1.0552e+00	8.9e-03
5.0910e+03	2.4e+00	1.1532e+00	1.4e-02
5.0946e+03	2.4e+00	1.2347e+00	1.0e-02
5.0981e+03	2.4e+00	1.2663e+00	5.5e-03
5.1017e+03	2.4e+00	1.2636e+00	4.9e-03
5.1052e+03	2.4e+00	1.2053e+00	1.0e-02
5.1088e+03	2.4e+00	1.1898e+00	1.0e-02
5.1123e+03	2.4e+00	1.1035e+00	4.5e-03
5.1158e+03	2.4e+00	1.0833e+00	9.3e-03
5.1194e+03	2.4e+00	1.1782e+00	8.1e-03
5.1229e+03	2.4e+00	1.2382e+00	4.5e-03
5.1265e+03	2.4e+00	1.1547e+00	1.1e-02
5.1300e+03	2.4e+00	1.0475e+00	1.4e-02
5.1335e+03	2.4e+00	1.0758e+00	7.9e-03
5.1371e+03	2.4e+00	1.1602e+00	7.3e-03
5.1406e+03	2.4e+00	1.2038e+00	7.2e-03
5.1441e+03	2.4e+00	1.1365e+00	8.6e-03
5.1477e+03	2.4e+00	1.0443e+00	5.8e-03
