# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
4.180353929504331973e+03	2.945443756427925663e+00	5.615820275221800557e+02	1.056154916698122648e+01
4.183998344701708447e+03	2.935707872747414182e+00	7.703258924787176056e+02	1.356496974646467457e+01
4.187642338189130896e+03	2.925999210090896252e+00	1.215066433275612098e+03	1.729306754531485524e+01
4.191285909966600229e+03	2.916317800911908620e+00	1.390149621313057423e+03	8.571525098248923058e+00
4.194929060034113718e+03	2.906663677791483380e+00	1.025281875810999964e+03	2.046537715044533101e+01
4.198571788391673181e+03	2.897036873437214943e+00	4.591976882698903069e+02	8.212189903504871324e+00
4.202214095039279528e+03	2.887437420682282152e+00	3.107503032530138967e+02	7.341931316861767698e+00
4.205855979976930030e+03	2.877865352484425099e+00	2.793531814565000104e+02	1.338629964554979068e+01
4.209497443204627416e+03	2.868320701924896188e+00	3.107208897780919301e+02	7.256183926303827469e+00
4.213138484722370777e+03	2.858803502207338365e+00	3.115608307719714958e+02	8.213409441255963728e+00
4.216779104530158293e+03	2.849313786656666458e+00	3.411264265349648213e+02	1.069595880523282716e+01
4.220419302627992693e+03	2.839851588717842379e+00	3.589108456567537928e+02	1.413091193008019708e+01
4.224059079015872157e+03	2.830416941954668086e+00	3.349982834383046111e+02	1.098011501533838619e+01
4.227698433693798506e+03	2.821009880048479967e+00	2.786079831872188493e+02	1.098341827651778857e+01
4.231337366661769011e+03	2.811630436796833887e+00	2.543808449650226180e+02	5.617068590890503366e+00
4.234975877919785489e+03	2.802278646112116078e+00	2.891067508692425463e+02	9.901375939930220582e+00
4.238613967467848852e+03	2.792954542020126052e+00	2.642105702254553989e+02	5.095173321396450739e+00
4.242251635305957279e+03	2.783658158658588899e+00	2.125780546042945502e+02	1.124645163989679020e+01
4.245888881434110772e+03	2.774389530275636506e+00	3.131853408153095870e+02	1.084795306510273605e+01
4.249525705852311148e+03	2.765148691228218603e+00	7.092775499689165599e+02	8.051583296776364307e+00
4.253162108560556590e+03	2.755935675980481392e+00	7.986405271451940280e+02	1.172263662201521051e+01
4.256798089558848005e+03	2.746750519102074684e+00	6.846548907829362633e+02	7.339309781186342363e+00
4.260433648847184486e+03	2.737593255266406178e+00	4.519471642707357546e+02	6.511578470646568917e+00
4.264068786425566941e+03	2.728463919248859337e+00	4.963765756154793962e+02	1.061169843218218567e+01
