# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.6982e+03	1.4e+01	2.4909e-01	4.0e-02
3.7019e+03	1.4e+01	2.2848e-01	2.1e-02
3.7057e+03	1.4e+01	2.7895e-01	3.2e-02
3.7094e+03	1.3e+01	2.7915e-01	3.1e-02
3.7132e+03	1.3e+01	2.5842e-01	2.6e-02
3.7169e+03	1.3e+01	3.1230e-01	4.8e-02
3.7207e+03	1.3e+01	3.7331e-01	5.0e-02
3.7244e+03	1.3e+01	3.6221e-01	3.2e-02
3.7282e+03	1.3e+01	4.0300e-01	3.8e-02
3.7319e+03	1.3e+01	4.2994e-01	4.8e-02
3.7357e+03	1.3e+01	4.2584e-01	5.2e-02
3.7394e+03	1.3e+01	3.8785e-01	4.3e-02
3.7432e+03	1.3e+01	3.8475e-01	4.5e-02
3.7469e+03	1.3e+01	3.6559e-01	3.9e-02
3.7506e+03	1.3e+01	4.0277e-01	5.2e-02
3.7544e+03	1.3e+01	3.9590e-01	3.5e-02
3.7581e+03	1.3e+01	4.6977e-01	4.7e-02
3.7619e+03	1.3e+01	4.6776e-01	4.0e-02
3.7656e+03	1.3e+01	4.5152e-01	4.1e-02
3.7694e+03	1.3e+01	4.4098e-01	4.9e-02
3.7731e+03	1.3e+01	4.3635e-01	5.9e-02
3.7769e+03	1.3e+01	3.7784e-01	4.9e-02
3.7806e+03	1.3e+01	3.5768e-01	3.5e-02
3.7843e+03	1.3e+01	3.6608e-01	4.0e-02
3.7881e+03	1.3e+01	3.9685e-01	3.9e-02
3.7918e+03	1.3e+01	4.2801e-01	5.1e-02
3.7956e+03	1.3e+01	4.3611e-01	4.7e-02
3.7993e+03	1.3e+01	4.8382e-01	5.4e-02
3.8030e+03	1.3e+01	4.9295e-01	4.7e-02
3.8068e+03	1.2e+01	4.8693e-01	3.9e-02
3.8105e+03	1.2e+01	4.9557e-01	4.8e-02
3.8143e+03	1.2e+01	4.8384e-01	4.5e-02
3.8180e+03	1.2e+01	5.1727e-01	6.5e-02
3.8217e+03	1.2e+01	5.2184e-01	4.5e-02
3.8255e+03	1.2e+01	5.3618e-01	4.0e-02
3.8292e+03	1.2e+01	5.8818e-01	5.5e-02
3.8329e+03	1.2e+01	6.0878e-01	5.2e-02
3.8367e+03	1.2e+01	6.2680e-01	4.4e-02
3.8404e+03	1.2e+01	6.7401e-01	5.2e-02
3.8442e+03	1.2e+01	7.4647e-01	5.2e-02
3.8479e+03	1.2e+01	9.0311e-01	6.1e-02
3.8516e+03	1.2e+01	1.0080e+00	5.1e-02
3.8554e+03	1.2e+01	1.0517e+00	4.3e-02
3.8591e+03	1.2e+01	1.0863e+00	4.9e-02
3.8628e+03	1.2e+01	1.0518e+00	4.6e-02
3.8665e+03	1.2e+01	1.1062e+00	5.8e-02
3.8703e+03	1.2e+01	1.1948e+00	6.4e-02
3.8740e+03	1.2e+01	1.2290e+00	4.9e-02
3.8777e+03	1.2e+01	1.2574e+00	6.0e-02
3.8815e+03	1.2e+01	1.1401e+00	5.6e-02
3.8852e+03	1.2e+01	9.9381e-01	4.5e-02
3.8889e+03	1.2e+01	8.3828e-01	4.4e-02
3.8927e+03	1.2e+01	6.7673e-01	4.4e-02
3.8964e+03	1.2e+01	5.4770e-01	4.9e-02
3.9001e+03	1.2e+01	6.2532e-01	4.6e-02
3.9038e+03	1.2e+01	7.8746e-01	4.2e-02
3.9076e+03	1.2e+01	1.0230e+00	5.3e-02
3.9113e+03	1.1e+01	1.2031e+00	6.6e-02
3.9150e+03	1.1e+01	1.3233e+00	5.2e-02
3.9187e+03	1.1e+01	1.4441e+00	6.7e-02
3.9225e+03	1.1e+01	1.3074e+00	4.4e-02
3.9262e+03	1.1e+01	1.1246e+00	4.4e-02
3.9299e+03	1.1e+01	8.6550e-01	5.2e-02
3.9336e+03	1.1e+01	6.6351e-01	4.2e-02
3.9373e+03	1.1e+01	7.6145e-01	4.1e-02
3.9411e+03	1.1e+01	1.0797e+00	4.5e-02
3.9448e+03	1.1e+01	1.4396e+00	5.3e-02
3.9485e+03	1.1e+01	1.6396e+00	5.4e-02
3.9522e+03	1.1e+01	1.7497e+00	5.3e-02
3.9559e+03	1.1e+01	1.8276e+00	5.1e-02
3.9597e+03	1.1e+01	1.9213e+00	6.1e-02
3.9634e+03	1.1e+01	1.9535e+00	6.2e-02
3.9671e+03	1.1e+01	1.9842e+00	5.9e-02
3.9708e+03	1.1e+01	1.9957e+00	6.3e-02
3.9745e+03	1.1e+01	1.9827e+00	5.8e-02
3.9783e+03	1.1e+01	2.0326e+00	5.4e-02
3.9820e+03	1.1e+01	2.1747e+00	6.1e-02
3.9857e+03	1.1e+01	2.1676e+00	5.5e-02
3.9894e+03	1.1e+01	2.1498e+00	5.1e-02
3.9931e+03	1.1e+01	2.1595e+00	5.4e-02
3.9968e+03	1.1e+01	2.0860e+00	5.5e-02
4.0005e+03	1.1e+01	1.9456e+00	4.9e-02
4.0043e+03	1.1e+01	1.9111e+00	4.9e-02
4.0080e+03	1.1e+01	1.9737e+00	5.3e-02
4.0117e+03	1.1e+01	1.9548e+00	4.9e-02
4.0154e+03	1.1e+01	1.8695e+00	5.3e-02
4.0191e+03	1.0e+01	1.8551e+00	5.2e-02
4.0228e+03	1.0e+01	1.8950e+00	5.1e-02
4.0265e+03	1.0e+01	1.8841e+00	4.4e-02
4.0302e+03	1.0e+01	1.7674e+00	4.8e-02
4.0339e+03	1.0e+01	1.7259e+00	5.0e-02
4.0376e+03	1.0e+01	1.7507e+00	4.7e-02
4.0414e+03	1.0e+01	1.7584e+00	4.4e-02
4.0451e+03	1.0e+01	1.7832e+00	4.8e-02
4.0488e+03	1.0e+01	1.7850e+00	4.3e-02
4.0525e+03	1.0e+01	1.8548e+00	4.1e-02
4.0562e+03	1.0e+01	1.9767e+00	4.5e-02
4.0599e+03	1.0e+01	2.0449e+00	4.7e-02
4.0636e+03	1.0e+01	2.0835e+00	5.2e-02
4.0673e+03	1.0e+01	2.0136e+00	4.7e-02
4.0710e+03	1.0e+01	1.8112e+00	3.8e-02
4.0747e+03	1.0e+01	1.7672e+00	4.0e-02
4.0784e+03	1.0e+01	1.8273e+00	4.2e-02
4.0821e+03	9.9e+00	1.8823e+00	4.2e-02
4.0858e+03	9.9e+00	1.8737e+00	3.6e-02
4.0895e+03	9.9e+00	1.8485e+00	3.6e-02
4.0932e+03	9.8e+00	1.8506e+00	4.0e-02
4.0969e+03	9.8e+00	1.8130e+00	3.9e-02
4.1006e+03	9.8e+00	1.7521e+00	3.9e-02
4.1043e+03	9.7e+00	1.6831e+00	3.7e-02
4.1080e+03	9.7e+00	1.6551e+00	3.7e-02
4.1117e+03	9.7e+00	1.6552e+00	3.2e-02
4.1154e+03	9.6e+00	1.6598e+00	3.5e-02
