# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
4.0084e+03	2.4e+00	8.376848e+02	2.4e+01
4.0121e+03	2.4e+00	8.663868e+02	4.4e+01
4.0158e+03	2.4e+00	9.499572e+02	3.6e+01
4.0194e+03	2.4e+00	1.093661e+03	2.9e+01
4.0231e+03	2.4e+00	1.257722e+03	4.1e+01
4.0268e+03	2.4e+00	1.329979e+03	4.4e+01
4.0304e+03	2.4e+00	1.159483e+03	4.9e+01
4.0341e+03	2.4e+00	1.033102e+03	5.5e+01
4.0378e+03	2.4e+00	8.778454e+02	5.3e+01
4.0415e+03	2.4e+00	7.377366e+02	3.5e+01
4.0451e+03	2.4e+00	7.892351e+02	4.4e+01
4.0488e+03	2.4e+00	1.034026e+03	4.2e+01
4.0525e+03	2.4e+00	1.318524e+03	5.1e+01
4.0561e+03	2.4e+00	1.479165e+03	4.0e+01
4.0598e+03	2.4e+00	1.212951e+03	5.8e+01
4.0635e+03	2.4e+00	1.018751e+03	3.0e+01
4.0671e+03	2.4e+00	8.464170e+02	4.4e+01
4.0708e+03	2.4e+00	7.683846e+02	2.9e+01
4.0745e+03	2.4e+00	7.124572e+02	4.9e+01
4.0781e+03	2.4e+00	7.958626e+02	5.2e+01
4.0818e+03	2.4e+00	8.629789e+02	2.9e+01
4.0855e+03	2.4e+00	1.019082e+03	3.6e+01
4.0891e+03	2.4e+00	9.649205e+02	3.3e+01
4.0928e+03	2.4e+00	8.837967e+02	2.3e+01
4.0965e+03	2.4e+00	7.637702e+02	2.8e+01
4.1001e+03	2.4e+00	9.272057e+02	4.2e+01
4.1038e+03	2.4e+00	9.646400e+02	1.8e+01
4.1075e+03	2.4e+00	9.292157e+02	3.1e+01
4.1111e+03	2.4e+00	9.632881e+02	3.9e+01
4.1148e+03	2.4e+00	9.494662e+02	2.4e+01
4.1184e+03	2.4e+00	9.398224e+02	2.0e+01
4.1221e+03	2.4e+00	7.357441e+02	2.8e+01
4.1258e+03	2.4e+00	5.294343e+02	2.1e+01
4.1294e+03	2.4e+00	5.528677e+02	2.1e+01
4.1331e+03	2.4e+00	5.964165e+02	2.0e+01
4.1367e+03	2.4e+00	7.401717e+02	2.1e+01
4.1404e+03	2.4e+00	1.265739e+03	2.9e+01
4.1441e+03	2.4e+00	1.439022e+03	2.6e+01
4.1477e+03	2.4e+00	1.334645e+03	4.2e+01
4.1514e+03	2.4e+00	8.277804e+02	3.1e+01
4.1550e+03	2.4e+00	6.623755e+02	2.3e+01
4.1587e+03	2.4e+00	6.070511e+02	9.4e+00
4.1623e+03	2.4e+00	6.514201e+02	2.1e+01
4.1660e+03	2.4e+00	8.412729e+02	3.2e+01
4.1697e+03	2.4e+00	9.691739e+02	1.5e+01
4.1733e+03	2.4e+00	1.017628e+03	2.7e+01
4.1770e+03	2.4e+00	1.148506e+03	1.6e+01
4.1806e+03	2.4e+00	1.724281e+03	3.1e+01
4.1843e+03	2.4e+00	2.366174e+03	3.4e+01
4.1879e+03	2.4e+00	2.310158e+03	2.3e+01
4.1916e+03	2.4e+00	1.753226e+03	3.5e+01
4.1952e+03	2.4e+00	8.381829e+02	3.1e+01
4.1989e+03	2.4e+00	6.710019e+02	1.2e+01
4.2025e+03	2.4e+00	7.041026e+02	1.5e+01
4.2062e+03	2.4e+00	6.362591e+02	2.7e+01
4.2098e+03	2.4e+00	7.315814e+02	2.5e+01
4.2135e+03	2.4e+00	7.047900e+02	4.2e+01
4.2171e+03	2.4e+00	7.339705e+02	4.3e+01
4.2208e+03	2.4e+00	7.090582e+02	4.9e+01
4.2244e+03	2.4e+00	6.769700e+02	3.2e+01
4.2281e+03	2.4e+00	6.264954e+02	2.5e+01
4.2317e+03	2.4e+00	4.936079e+02	3.2e+01
4.2354e+03	2.4e+00	4.950227e+02	2.2e+01
4.2390e+03	2.4e+00	4.989005e+02	2.4e+01
