# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.7036e+03	2.4e+00	1.1503e-01	4.9e-03
3.7070e+03	2.4e+00	1.1384e-01	4.0e-03
3.7104e+03	2.4e+00	1.3301e-01	4.3e-03
3.7139e+03	2.4e+00	1.2935e-01	5.3e-03
3.7173e+03	2.4e+00	1.3268e-01	8.1e-03
3.7207e+03	2.4e+00	1.3859e-01	7.3e-03
3.7241e+03	2.4e+00	1.5093e-01	4.7e-03
3.7275e+03	2.4e+00	1.4697e-01	3.6e-03
3.7309e+03	2.4e+00	1.5169e-01	9.1e-03
3.7344e+03	2.4e+00	1.5838e-01	5.5e-03
3.7378e+03	2.4e+00	1.5659e-01	6.2e-03
3.7412e+03	2.4e+00	1.5934e-01	1.0e-02
3.7446e+03	2.4e+00	1.6131e-01	5.4e-03
3.7480e+03	2.4e+00	1.6494e-01	9.9e-03
3.7515e+03	2.4e+00	1.8327e-01	6.4e-03
3.7549e+03	2.4e+00	2.0711e-01	1.7e-03
3.7583e+03	2.4e+00	2.1397e-01	4.4e-03
3.7617e+03	2.4e+00	2.2023e-01	1.2e-02
3.7652e+03	2.4e+00	2.4403e-01	4.7e-03
3.7686e+03	2.4e+00	2.4127e-01	6.6e-03
3.7720e+03	2.4e+00	2.6351e-01	7.7e-03
3.7755e+03	2.4e+00	3.0682e-01	9.8e-03
3.7789e+03	2.4e+00	3.4685e-01	4.8e-03
3.7823e+03	2.4e+00	3.5579e-01	4.9e-03
3.7857e+03	2.4e+00	3.4258e-01	9.7e-03
3.7892e+03	2.4e+00	3.1882e-01	6.6e-03
3.7926e+03	2.4e+00	3.2979e-01	1.1e-02
3.7960e+03	2.4e+00	3.4036e-01	6.5e-03
3.7995e+03	2.4e+00	3.6756e-01	1.2e-02
3.8029e+03	2.4e+00	4.0219e-01	5.8e-03
3.8064e+03	2.4e+00	4.4700e-01	1.2e-02
3.8098e+03	2.4e+00	4.6214e-01	1.2e-02
3.8132e+03	2.4e+00	4.5518e-01	1.7e-02
3.8167e+03	2.4e+00	4.2550e-01	7.6e-03
3.8201e+03	2.4e+00	4.1092e-01	1.7e-02
3.8236e+03	2.4e+00	4.1313e-01	6.2e-03
3.8270e+03	2.4e+00	4.1808e-01	3.2e-03
3.8304e+03	2.4e+00	4.1372e-01	4.9e-03
3.8339e+03	2.4e+00	4.2096e-01	1.2e-02
3.8373e+03	2.4e+00	4.2868e-01	6.5e-03
3.8408e+03	2.4e+00	4.7645e-01	1.5e-02
3.8442e+03	2.4e+00	5.3608e-01	1.6e-02
3.8477e+03	2.4e+00	5.8881e-01	5.2e-03
3.8511e+03	2.4e+00	5.7640e-01	1.1e-02
3.8546e+03	2.4e+00	5.5751e-01	9.9e-03
3.8580e+03	2.4e+00	5.7742e-01	1.1e-02
3.8615e+03	2.4e+00	6.3910e-01	1.2e-02
3.8649e+03	2.4e+00	6.7486e-01	4.8e-03
3.8684e+03	2.4e+00	7.0266e-01	7.1e-03
3.8718e+03	2.4e+00	6.7723e-01	6.0e-03
3.8753e+03	2.4e+00	7.0752e-01	2.3e-02
3.8787e+03	2.4e+00	7.4079e-01	1.3e-02
3.8822e+03	2.4e+00	8.0021e-01	4.5e-03
3.8856e+03	2.4e+00	8.5976e-01	1.0e-02
3.8891e+03	2.4e+00	9.4185e-01	3.0e-02
3.8926e+03	2.4e+00	1.0223e+00	2.8e-02
3.8960e+03	2.4e+00	1.1018e+00	2.0e-02
3.8995e+03	2.4e+00	1.1463e+00	1.9e-02
3.9029e+03	2.4e+00	1.1219e+00	2.0e-02
3.9064e+03	2.4e+00	1.1359e+00	8.1e-03
3.9098e+03	2.4e+00	1.1830e+00	2.2e-02
3.9133e+03	2.4e+00	1.2129e+00	1.9e-02
3.9168e+03	2.4e+00	1.1693e+00	2.0e-02
3.9202e+03	2.5e+00	1.0935e+00	1.3e-02
3.9237e+03	2.5e+00	9.6884e-01	8.8e-03
3.9272e+03	2.5e+00	8.2012e-01	1.3e-02
3.9306e+03	2.5e+00	6.7590e-01	1.6e-02
3.9341e+03	2.5e+00	5.8738e-01	7.5e-03
3.9376e+03	2.5e+00	6.9252e-01	1.1e-02
3.9410e+03	2.5e+00	8.4835e-01	1.8e-02
3.9445e+03	2.5e+00	1.0345e+00	1.6e-02
3.9480e+03	2.5e+00	1.1959e+00	2.6e-02
3.9514e+03	2.5e+00	1.3164e+00	2.1e-02
3.9549e+03	2.5e+00	1.3206e+00	7.6e-03
3.9584e+03	2.5e+00	1.2903e+00	9.3e-03
3.9618e+03	2.5e+00	1.1032e+00	1.5e-02
3.9653e+03	2.5e+00	8.5951e-01	1.0e-02
3.9688e+03	2.5e+00	7.1315e-01	1.0e-02
3.9723e+03	2.5e+00	8.5954e-01	1.9e-02
3.9757e+03	2.5e+00	1.1732e+00	2.4e-02
3.9792e+03	2.5e+00	1.4622e+00	2.4e-02
3.9827e+03	2.5e+00	1.6666e+00	8.2e-03
3.9862e+03	2.5e+00	1.7392e+00	1.5e-02
3.9896e+03	2.5e+00	1.8391e+00	1.6e-02
3.9931e+03	2.5e+00	1.8454e+00	1.6e-02
3.9966e+03	2.5e+00	1.8557e+00	1.9e-02
4.0001e+03	2.5e+00	1.9117e+00	1.4e-02
4.0036e+03	2.5e+00	1.9869e+00	1.8e-02
4.0070e+03	2.5e+00	1.9695e+00	2.3e-02
4.0105e+03	2.5e+00	2.0703e+00	3.1e-02
4.0140e+03	2.5e+00	2.1269e+00	2.2e-02
4.0175e+03	2.5e+00	2.1418e+00	1.2e-02
4.0210e+03	2.5e+00	2.1158e+00	2.0e-02
4.0245e+03	2.5e+00	2.1361e+00	1.1e-02
4.0279e+03	2.5e+00	2.0696e+00	2.0e-02
4.0314e+03	2.5e+00	1.9938e+00	2.9e-02
4.0349e+03	2.5e+00	1.9991e+00	2.2e-02
4.0384e+03	2.5e+00	2.1103e+00	1.8e-02
4.0419e+03	2.5e+00	2.0976e+00	2.6e-02
4.0454e+03	2.5e+00	2.0678e+00	2.2e-02
4.0489e+03	2.5e+00	2.0132e+00	1.9e-02
4.0523e+03	2.5e+00	2.0380e+00	4.5e-02
4.0558e+03	2.5e+00	1.9242e+00	1.5e-02
4.0593e+03	2.5e+00	1.9197e+00	6.4e-03
4.0628e+03	2.5e+00	1.8915e+00	1.1e-02
4.0663e+03	2.5e+00	1.9127e+00	9.8e-03
4.0698e+03	2.5e+00	1.9651e+00	3.8e-02
4.0733e+03	2.5e+00	1.8812e+00	3.3e-02
4.0768e+03	2.5e+00	1.8190e+00	2.6e-02
4.0803e+03	2.5e+00	1.8136e+00	1.7e-02
4.0838e+03	2.5e+00	1.9981e+00	1.9e-02
4.0873e+03	2.5e+00	2.1011e+00	1.7e-02
4.0908e+03	2.5e+00	2.1966e+00	4.7e-02
4.0943e+03	2.5e+00	2.1373e+00	2.1e-02
4.0978e+03	2.5e+00	1.9558e+00	2.3e-02
4.1012e+03	2.5e+00	1.8564e+00	2.6e-02
4.1047e+03	2.5e+00	1.8840e+00	3.6e-02
4.1082e+03	2.5e+00	2.0283e+00	3.9e-02
4.1117e+03	2.5e+00	2.0392e+00	1.7e-02
4.1152e+03	2.5e+00	2.0040e+00	6.4e-03
4.1187e+03	2.5e+00	1.9876e+00	1.3e-02
4.1222e+03	2.5e+00	1.8784e+00	2.2e-02
4.1257e+03	2.5e+00	1.8211e+00	2.0e-02
4.1292e+03	2.5e+00	1.7958e+00	2.3e-02
4.1327e+03	2.5e+00	1.8338e+00	2.6e-02
4.1362e+03	2.5e+00	1.9544e+00	1.8e-02
4.1398e+03	2.5e+00	1.9834e+00	3.2e-02
4.1433e+03	2.5e+00	1.9166e+00	1.4e-02
4.1468e+03	2.5e+00	1.8715e+00	1.4e-02
4.1503e+03	2.5e+00	1.8975e+00	2.1e-02
4.1538e+03	2.5e+00	1.8625e+00	2.0e-02
4.1573e+03	2.5e+00	1.9067e+00	1.7e-02
4.1608e+03	2.5e+00	1.9890e+00	2.4e-02
4.1643e+03	2.5e+00	2.0201e+00	1.6e-02
4.1678e+03	2.5e+00	1.9524e+00	3.4e-02
4.1713e+03	2.5e+00	1.8234e+00	1.7e-02
4.1748e+03	2.5e+00	1.6697e+00	1.1e-02
4.1783e+03	2.5e+00	1.7063e+00	2.4e-02
4.1818e+03	2.5e+00	1.8003e+00	2.5e-02
4.1853e+03	2.5e+00	1.9061e+00	2.4e-02
4.1889e+03	2.5e+00	1.9612e+00	2.0e-02
4.1924e+03	2.5e+00	1.8781e+00	2.3e-02
4.1959e+03	2.5e+00	1.8286e+00	1.7e-02
4.1994e+03	2.5e+00	1.7653e+00	1.1e-02
4.2029e+03	2.5e+00	1.8392e+00	2.4e-02
4.2064e+03	2.5e+00	1.9419e+00	2.1e-02
4.2099e+03	2.5e+00	1.9832e+00	1.4e-02
4.2134e+03	2.5e+00	2.0199e+00	3.4e-02
4.2170e+03	2.5e+00	2.0477e+00	2.8e-02
4.2205e+03	2.5e+00	2.0383e+00	1.3e-02
4.2240e+03	2.5e+00	1.9617e+00	2.0e-02
4.2275e+03	2.5e+00	1.8880e+00	1.4e-02
4.2310e+03	2.5e+00	1.9853e+00	1.4e-02
