# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
4.16660e+03	1.0e+00	3.17526e+02	1.9e+01
4.17011e+03	1.0e+00	3.10039e+02	2.0e+01
4.17362e+03	1.0e+00	2.80455e+02	1.7e+01
4.17713e+03	1.0e+00	3.59856e+02	1.9e+01
4.18064e+03	1.0e+00	4.29207e+02	1.8e+01
4.18415e+03	1.0e+00	4.97109e+02	1.9e+01
4.18766e+03	1.0e+00	5.56918e+02	2.1e+01
4.19117e+03	1.0e+00	8.15171e+02	2.9e+01
4.19469e+03	1.0e+00	1.22116e+03	2.9e+01
4.19820e+03	1.0e+00	1.28185e+03	2.7e+01
4.20171e+03	1.0e+00	9.86425e+02	2.5e+01
4.20523e+03	1.0e+00	4.66794e+02	2.8e+01
4.20874e+03	1.0e+00	3.01405e+02	8.1e+00
4.21226e+03	1.0e+00	2.98182e+02	1.2e+01
4.21577e+03	1.0e+00	2.98772e+02	1.3e+01
4.21929e+03	1.0e+00	3.12682e+02	1.1e+01
4.22281e+03	1.0e+00	3.34868e+02	1.8e+01
4.22632e+03	1.0e+00	3.34518e+02	1.8e+01
4.22984e+03	1.0e+00	3.18426e+02	1.8e+01
4.23336e+03	1.0e+00	2.80079e+02	1.0e+01
4.23688e+03	1.0e+00	2.55470e+02	1.7e+01
4.24040e+03	1.0e+00	2.21420e+02	1.6e+01
4.24392e+03	1.0e+00	2.30739e+02	2.0e+01
4.24744e+03	1.0e+00	2.42361e+02	1.4e+01
4.25096e+03	1.0e+00	3.71987e+02	1.6e+01
4.25448e+03	1.0e+00	6.43602e+02	1.4e+01
4.25800e+03	1.0e+00	7.36909e+02	2.5e+01
4.26152e+03	1.0e+00	6.53313e+02	2.2e+01
4.26505e+03	1.0e+00	4.95995e+02	2.6e+01
4.26857e+03	1.0e+00	4.98427e+02	2.3e+01
4.27209e+03	1.0e+00	6.23744e+02	1.9e+01
4.27562e+03	1.0e+00	5.96893e+02	1.1e+01
4.27914e+03	1.0e+00	4.54351e+02	1.5e+01
4.28267e+03	1.0e+00	2.75225e+02	1.5e+01
4.28619e+03	1.0e+00	1.72829e+02	1.2e+01
4.28972e+03	1.0e+00	1.74688e+02	1.3e+01
4.29325e+03	1.0e+00	2.61641e+02	1.3e+01
4.29677e+03	1.0e+00	3.00980e+02	1.4e+01
4.30030e+03	1.0e+00	2.75523e+02	1.2e+01
4.30383e+03	1.0e+00	2.60426e+02	1.1e+01
4.30736e+03	1.0e+00	2.31759e+02	8.0e+00
4.31088e+03	1.0e+00	2.28493e+02	1.3e+01
4.31441e+03	1.0e+00	2.03510e+02	1.5e+01
4.31794e+03	1.0e+00	1.82883e+02	1.6e+01
4.32147e+03	1.0e+00	2.16246e+02	8.5e+00
4.32500e+03	1.0e+00	3.06648e+02	1.1e+01
4.32853e+03	1.0e+00	4.66759e+02	2.6e+01
4.33207e+03	1.0e+00	5.18543e+02	1.9e+01
4.33560e+03	1.0e+00	4.80261e+02	9.0e+00
4.33913e+03	1.0e+00	4.21425e+02	1.1e+01
4.34266e+03	1.0e+00	4.77656e+02	9.4e+00
4.34620e+03	1.0e+00	4.73436e+02	1.9e+01
4.34973e+03	1.0e+00	3.97665e+02	1.6e+01
4.35326e+03	1.0e+00	2.76374e+02	7.4e+00
4.35680e+03	1.0e+00	2.48987e+02	1.4e+01
4.36033e+03	1.0e+00	2.57342e+02	1.2e+01
4.36387e+03	1.0e+00	3.32021e+02	8.6e+00
4.36740e+03	1.0e+00	3.96176e+02	1.1e+01
4.37094e+03	1.0e+00	4.49856e+02	6.8e+00
4.37447e+03	1.0e+00	4.24406e+02	8.7e+00
4.37801e+03	1.0e+00	3.49046e+02	1.2e+01
4.38155e+03	1.0e+00	3.11192e+02	8.1e+00
4.38509e+03	1.0e+00	2.31809e+02	9.5e+00
4.38862e+03	1.0e+00	2.08764e+02	1.0e+01
4.39216e+03	1.0e+00	2.02555e+02	1.3e+01
4.39570e+03	1.0e+00	2.44770e+02	1.4e+01
4.39924e+03	1.0e+00	2.30015e+02	1.6e+01
4.40278e+03	1.0e+00	2.04228e+02	1.2e+01
4.40632e+03	1.0e+00	1.82676e+02	7.9e+00
4.40986e+03	1.0e+00	1.50321e+02	7.0e+00
4.41340e+03	1.0e+00	1.52296e+02	6.8e+00
4.41694e+03	1.0e+00	1.67711e+02	7.7e+00
4.42048e+03	1.0e+00	2.45579e+02	1.4e+01
4.42402e+03	1.0e+00	3.32476e+02	1.0e+01
4.42756e+03	1.0e+00	3.27765e+02	1.3e+01
4.43110e+03	1.0e+00	2.46630e+02	1.1e+01
4.43465e+03	1.0e+00	1.72631e+02	1.1e+01
4.43819e+03	1.0e+00	1.62630e+02	7.1e+00
4.44173e+03	1.0e+00	1.83217e+02	9.5e+00
4.44528e+03	1.0e+00	1.80571e+02	1.4e+01
4.44882e+03	1.0e+00	1.71220e+02	8.1e+00
4.45236e+03	1.0e+00	1.55814e+02	4.8e+00
4.45591e+03	1.0e+00	1.54374e+02	8.0e+00
4.45945e+03	1.0e+00	1.49834e+02	1.2e+01
4.46300e+03	1.0e+00	1.72285e+02	1.2e+01
4.46654e+03	1.0e+00	1.97330e+02	5.5e+00
4.47009e+03	1.0e+00	2.30181e+02	8.2e+00
4.47363e+03	1.0e+00	2.57107e+02	8.8e+00
4.47718e+03	1.0e+00	2.29822e+02	1.4e+01
4.48073e+03	1.0e+00	2.43047e+02	7.3e+00
4.48427e+03	1.0e+00	2.22858e+02	1.2e+01
4.48782e+03	1.0e+00	2.07750e+02	7.7e+00
4.49137e+03	1.0e+00	2.25859e+02	6.3e+00
4.49492e+03	1.0e+00	2.80908e+02	8.9e+00
4.49846e+03	1.0e+00	3.27800e+02	4.7e+00
4.50201e+03	1.0e+00	3.83665e+02	1.5e+01
4.50556e+03	1.0e+00	4.42395e+02	1.1e+01
4.50911e+03	1.0e+00	4.44793e+02	1.0e+01
4.51266e+03	1.0e+00	3.26348e+02	1.2e+01
4.51621e+03	1.0e+00	2.11213e+02	1.3e+01
4.51976e+03	1.0e+00	1.80402e+02	1.1e+01
4.52331e+03	1.0e+00	1.93230e+02	8.8e+00
4.52686e+03	1.0e+00	2.00526e+02	1.1e+01
4.53041e+03	1.0e+00	1.70884e+02	7.7e+00
4.53396e+03	1.0e+00	1.64661e+02	9.9e+00
4.53751e+03	1.0e+00	2.31821e+02	7.4e+00
4.54106e+03	1.0e+00	3.23380e+02	9.0e+00
4.54461e+03	1.0e+00	3.24833e+02	1.0e+01
4.54817e+03	1.0e+00	2.51836e+02	7.4e+00
4.55172e+03	1.0e+00	1.55940e+02	7.8e+00
4.55527e+03	1.0e+00	1.46279e+02	6.0e+00
4.55882e+03	1.0e+00	1.42776e+02	8.2e+00
4.56238e+03	1.0e+00	1.36354e+02	2.5e+00
4.56593e+03	1.0e+00	1.46623e+02	5.9e+00
4.56948e+03	1.0e+00	1.59392e+02	6.8e+00
4.57304e+03	1.0e+00	1.84265e+02	9.5e+00
4.57659e+03	1.0e+00	2.24114e+02	1.6e+01
4.58014e+03	1.0e+00	2.21094e+02	1.3e+01
4.58370e+03	1.0e+00	2.26153e+02	1.1e+01
4.58725e+03	1.0e+00	2.32670e+02	7.7e+00
4.59081e+03	1.0e+00	2.24394e+02	9.3e+00
4.59436e+03	1.0e+00	1.94831e+02	8.4e+00
4.59792e+03	1.0e+00	1.58520e+02	6.7e+00
4.60147e+03	1.0e+00	2.10288e+02	1.1e+01
4.60503e+03	1.0e+00	2.88884e+02	1.3e+01
4.60858e+03	1.0e+00	2.76453e+02	5.4e+00
4.61214e+03	1.0e+00	2.26895e+02	1.2e+01
4.61569e+03	1.0e+00	1.40449e+02	8.9e+00
4.61925e+03	1.0e+00	1.08990e+02	6.1e+00
4.62281e+03	1.0e+00	1.08989e+02	5.1e+00
4.62636e+03	1.0e+00	1.06679e+02	4.5e+00
4.62992e+03	1.0e+00	1.04061e+02	7.8e+00
4.63348e+03	1.0e+00	1.08238e+02	4.3e+00
4.63703e+03	1.0e+00	1.16910e+02	1.1e+01
4.64059e+03	1.0e+00	1.06997e+02	2.9e+00
4.64415e+03	1.0e+00	1.07935e+02	5.5e+00
4.64771e+03	1.0e+00	1.16362e+02	8.5e+00
4.65127e+03	1.0e+00	1.90937e+02	8.8e+00
4.65482e+03	1.0e+00	2.47551e+02	5.9e+00
4.65838e+03	1.0e+00	2.42089e+02	5.3e+00
4.66194e+03	1.0e+00	1.72277e+02	4.9e+00
