# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.6834e+03	2.4e+00	1.31764e+04	3.8e+02
3.6871e+03	2.4e+00	1.50168e+04	1.2e+02
3.6908e+03	2.4e+00	1.54755e+04	4.0e+02
3.6945e+03	2.4e+00	1.65019e+04	3.0e+02
3.6982e+03	2.4e+00	1.78377e+04	3.3e+02
3.7019e+03	2.4e+00	2.10136e+04	2.2e+02
3.7057e+03	2.4e+00	2.45207e+04	6.3e+02
3.7094e+03	2.4e+00	2.48547e+04	8.6e+02
3.7131e+03	2.4e+00	2.30342e+04	3.8e+02
3.7168e+03	2.4e+00	2.58279e+04	3.5e+02
3.7205e+03	2.4e+00	3.21917e+04	9.1e+02
3.7242e+03	2.4e+00	3.74615e+04	1.1e+03
3.7279e+03	2.4e+00	3.95472e+04	7.1e+02
3.7316e+03	2.4e+00	3.76105e+04	3.9e+02
3.7353e+03	2.4e+00	3.51235e+04	4.8e+02
3.7390e+03	2.4e+00	3.74792e+04	6.8e+02
3.7427e+03	2.4e+00	4.67142e+04	3.0e+02
3.7464e+03	2.4e+00	5.86432e+04	3.8e+02
3.7501e+03	2.4e+00	6.59298e+04	1.0e+03
3.7539e+03	2.4e+00	6.90453e+04	1.4e+03
3.7576e+03	2.4e+00	6.73849e+04	1.2e+03
3.7613e+03	2.4e+00	6.17009e+04	9.2e+02
3.7650e+03	2.4e+00	5.56727e+04	5.9e+02
3.7687e+03	2.4e+00	5.92665e+04	8.4e+02
3.7724e+03	2.4e+00	7.44886e+04	8.2e+02
3.7761e+03	2.4e+00	8.98373e+04	9.4e+02
3.7798e+03	2.4e+00	1.05813e+05	1.5e+03
3.7835e+03	2.4e+00	1.14636e+05	2.0e+03
3.7872e+03	2.4e+00	1.18680e+05	1.8e+03
3.7909e+03	2.4e+00	1.20162e+05	1.3e+03
3.7946e+03	2.4e+00	1.20702e+05	2.1e+03
3.7983e+03	2.4e+00	1.13249e+05	2.9e+03
3.8020e+03	2.4e+00	9.95981e+04	2.2e+03
3.8057e+03	2.4e+00	8.95089e+04	1.7e+03
3.8094e+03	2.4e+00	9.85334e+04	1.9e+03
3.8131e+03	2.4e+00	1.20750e+05	1.8e+03
3.8168e+03	2.4e+00	1.47150e+05	1.3e+03
3.8205e+03	2.4e+00	1.68646e+05	2.1e+03
3.8242e+03	2.4e+00	1.82464e+05	3.0e+03
3.8279e+03	2.4e+00	1.89438e+05	3.9e+03
3.8315e+03	2.4e+00	2.01197e+05	2.1e+03
3.8352e+03	2.4e+00	2.09510e+05	4.8e+03
3.8389e+03	2.4e+00	2.14325e+05	2.6e+03
3.8426e+03	2.4e+00	2.20911e+05	5.1e+03
3.8463e+03	2.4e+00	2.25836e+05	4.7e+03
3.8500e+03	2.4e+00	2.24143e+05	4.6e+03
3.8537e+03	2.4e+00	2.05141e+05	3.2e+03
3.8574e+03	2.4e+00	1.80442e+05	3.1e+03
3.8611e+03	2.4e+00	1.57825e+05	2.8e+03
3.8648e+03	2.4e+00	1.50677e+05	2.3e+03
3.8685e+03	2.4e+00	1.74806e+05	3.0e+03
3.8722e+03	2.4e+00	2.14582e+05	3.2e+03
3.8759e+03	2.4e+00	2.51191e+05	5.1e+03
3.8795e+03	2.4e+00	2.72661e+05	3.5e+03
3.8832e+03	2.4e+00	2.86364e+05	3.3e+03
3.8869e+03	2.4e+00	3.00074e+05	2.5e+03
3.8906e+03	2.4e+00	3.05516e+05	5.2e+03
3.8943e+03	2.4e+00	3.09492e+05	6.6e+03
3.8980e+03	2.4e+00	3.12713e+05	6.9e+03
3.9017e+03	2.4e+00	3.17964e+05	6.7e+03
3.9054e+03	2.4e+00	3.20795e+05	5.5e+03
3.9090e+03	2.4e+00	3.24037e+05	7.2e+03
3.9127e+03	2.4e+00	3.20782e+05	6.4e+03
