# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.72319e+03	9.8e-01	1.8567e-01	1.2e-02
3.72660e+03	9.9e-01	1.9667e-01	1.0e-02
3.73002e+03	9.9e-01	2.0760e-01	1.2e-02
3.73343e+03	9.9e-01	2.1476e-01	9.2e-03
3.73684e+03	9.9e-01	2.6047e-01	1.2e-02
3.74026e+03	9.9e-01	2.9893e-01	1.6e-02
3.74368e+03	9.9e-01	3.5928e-01	2.1e-02
3.74709e+03	9.9e-01	3.4775e-01	1.4e-02
3.75051e+03	9.9e-01	3.4891e-01	1.4e-02
3.75393e+03	9.9e-01	3.7583e-01	1.7e-02
3.75735e+03	9.9e-01	4.4819e-01	1.6e-02
3.76077e+03	9.9e-01	5.4091e-01	1.8e-02
3.76420e+03	9.9e-01	5.5267e-01	1.5e-02
3.76762e+03	9.9e-01	5.4208e-01	2.2e-02
3.77104e+03	9.9e-01	5.1060e-01	2.2e-02
3.77447e+03	9.9e-01	5.4704e-01	2.4e-02
3.77789e+03	9.9e-01	6.8025e-01	2.2e-02
3.78132e+03	9.9e-01	8.4751e-01	2.8e-02
3.78475e+03	9.9e-01	9.5833e-01	2.9e-02
3.78818e+03	9.9e-01	9.7331e-01	2.5e-02
3.79160e+03	9.9e-01	9.9160e-01	3.5e-02
3.79504e+03	9.9e-01	8.8648e-01	3.3e-02
3.79847e+03	9.9e-01	7.9333e-01	2.7e-02
3.80190e+03	9.9e-01	8.5550e-01	3.2e-02
3.80533e+03	9.9e-01	1.0315e+00	2.6e-02
3.80877e+03	9.9e-01	1.3246e+00	4.2e-02
3.81220e+03	9.9e-01	1.4821e+00	3.9e-02
3.81564e+03	9.9e-01	1.6204e+00	4.4e-02
3.81907e+03	9.9e-01	1.6942e+00	4.8e-02
3.82251e+03	9.9e-01	1.7474e+00	5.4e-02
3.82595e+03	9.9e-01	1.7183e+00	4.9e-02
3.82939e+03	9.9e-01	1.5622e+00	4.2e-02
3.83283e+03	9.9e-01	1.3806e+00	4.3e-02
3.83627e+03	9.9e-01	1.2484e+00	3.5e-02
3.83971e+03	9.9e-01	1.4030e+00	4.6e-02
3.84315e+03	9.9e-01	1.7644e+00	5.8e-02
3.84659e+03	9.9e-01	2.1268e+00	5.9e-02
3.85004e+03	9.9e-01	2.3779e+00	5.5e-02
3.85348e+03	9.9e-01	2.5398e+00	5.6e-02
3.85693e+03	9.9e-01	2.6367e+00	6.2e-02
3.86038e+03	1.0e+00	2.7692e+00	6.4e-02
3.86382e+03	1.0e+00	2.8833e+00	6.5e-02
3.86727e+03	1.0e+00	2.9313e+00	6.0e-02
3.87072e+03	1.0e+00	3.0662e+00	7.2e-02
3.87417e+03	1.0e+00	3.0766e+00	6.5e-02
3.87762e+03	1.0e+00	3.0479e+00	7.3e-02
3.88107e+03	1.0e+00	2.8562e+00	7.1e-02
3.88453e+03	1.0e+00	2.5072e+00	6.7e-02
3.88798e+03	1.0e+00	2.1206e+00	5.4e-02
3.89143e+03	1.0e+00	2.0565e+00	5.3e-02
3.89489e+03	1.0e+00	2.4646e+00	6.1e-02
3.89835e+03	1.0e+00	2.9606e+00	6.1e-02
3.90180e+03	1.0e+00	3.4590e+00	7.5e-02
