# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
4.1770e+03	2.4e+00	1.672421e+03	3.4e+01
4.1806e+03	2.4e+00	2.127095e+03	3.1e+01
4.1843e+03	2.4e+00	2.435882e+03	3.6e+01
4.1879e+03	2.4e+00	2.142615e+03	4.1e+01
4.1916e+03	2.4e+00	1.482855e+03	3.1e+01
4.1952e+03	2.4e+00	7.988121e+02	1.2e+01
4.1989e+03	2.4e+00	6.509042e+02	8.1e+00
4.2025e+03	2.4e+00	6.594057e+02	8.1e+00
4.2062e+03	2.4e+00	6.909118e+02	8.4e+00
4.2098e+03	2.4e+00	7.132852e+02	8.3e+00
4.2135e+03	2.4e+00	7.321886e+02	8.9e+00
4.2171e+03	2.4e+00	7.072773e+02	1.3e+01
4.2208e+03	2.4e+00	6.500249e+02	8.4e+00
4.2244e+03	2.4e+00	5.886746e+02	7.7e+00
4.2281e+03	2.4e+00	5.742146e+02	6.9e+00
4.2317e+03	2.4e+00	5.870281e+02	9.2e+00
4.2354e+03	2.4e+00	6.701272e+02	1.5e+01
4.2390e+03	2.4e+00	8.228397e+02	2.0e+01
4.2427e+03	2.4e+00	1.128743e+03	1.9e+01
4.2463e+03	2.4e+00	1.417539e+03	1.6e+01
4.2500e+03	2.4e+00	1.425363e+03	1.7e+01
4.2536e+03	2.4e+00	1.285873e+03	1.6e+01
4.2572e+03	2.4e+00	1.108755e+03	1.5e+01
4.2609e+03	2.4e+00	1.188025e+03	1.5e+01
4.2645e+03	2.4e+00	1.227758e+03	1.7e+01
4.2682e+03	2.4e+00	1.040612e+03	1.7e+01
4.2718e+03	2.4e+00	7.705055e+02	1.3e+01
4.2755e+03	2.4e+00	5.235472e+02	6.9e+00
4.2791e+03	2.4e+00	4.979659e+02	7.1e+00
4.2827e+03	2.4e+00	5.494892e+02	8.2e+00
4.2864e+03	2.4e+00	6.411304e+02	8.4e+00
4.2900e+03	2.4e+00	6.821022e+02	8.1e+00
4.2937e+03	2.4e+00	6.379766e+02	7.3e+00
4.2973e+03	2.4e+00	5.491496e+02	6.4e+00
4.3010e+03	2.4e+00	5.107143e+02	5.7e+00
4.3046e+03	2.4e+00	5.042294e+02	5.6e+00
4.3082e+03	2.4e+00	5.005191e+02	6.8e+00
4.3119e+03	2.4e+00	5.509153e+02	1.1e+01
4.3155e+03	2.4e+00	6.647573e+02	1.4e+01
4.3191e+03	2.4e+00	8.708021e+02	1.3e+01
4.3228e+03	2.4e+00	1.052951e+03	1.1e+01
4.3264e+03	2.4e+00	1.095318e+03	1.1e+01
4.3301e+03	2.4e+00	1.010281e+03	1.2e+01
4.3337e+03	2.4e+00	9.713450e+02	1.1e+01
4.3373e+03	2.4e+00	1.011857e+03	1.2e+01
4.3410e+03	2.4e+00	9.174333e+02	1.2e+01
4.3446e+03	2.4e+00	7.613187e+02	8.8e+00
4.3482e+03	2.4e+00	6.134204e+02	6.9e+00
4.3519e+03	2.4e+00	6.195196e+02	9.9e+00
