# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.5785e+03	2.5e+00	1.08793e+04	2.2e+02
3.5822e+03	2.5e+00	1.16834e+04	3.5e+02
3.5860e+03	2.5e+00	1.19689e+04	1.9e+02
3.5897e+03	2.5e+00	1.20176e+04	1.4e+02
3.5934e+03	2.5e+00	1.13623e+04	2.3e+02
3.5971e+03	2.5e+00	1.23499e+04	9.3e+01
3.6009e+03	2.5e+00	1.26308e+04	3.6e+02
3.6046e+03	2.5e+00	1.21703e+04	2.9e+02
3.6083e+03	2.5e+00	1.24543e+04	4.3e+02
3.6120e+03	2.5e+00	1.35562e+04	3.1e+02
3.6158e+03	2.5e+00	1.41262e+04	3.5e+02
3.6195e+03	2.5e+00	1.40461e+04	4.9e+02
3.6232e+03	2.5e+00	1.49590e+04	5.9e+02
3.6269e+03	2.5e+00	1.52580e+04	2.7e+02
3.6307e+03	2.5e+00	1.56764e+04	1.1e+02
3.6344e+03	2.5e+00	1.56298e+04	9.6e+01
3.6381e+03	2.5e+00	1.56235e+04	3.5e+02
3.6418e+03	2.5e+00	1.70961e+04	4.4e+02
3.6455e+03	2.5e+00	1.77933e+04	2.8e+02
3.6493e+03	2.5e+00	1.82106e+04	7.7e+02
3.6530e+03	2.5e+00	1.86301e+04	1.8e+02
3.6567e+03	2.5e+00	1.99845e+04	2.4e+02
3.6604e+03	2.5e+00	2.10595e+04	3.3e+02
3.6641e+03	2.5e+00	2.08979e+04	3.7e+02
3.6678e+03	2.5e+00	2.26862e+04	6.0e+02
3.6716e+03	2.5e+00	2.28828e+04	7.0e+02
3.6753e+03	2.5e+00	2.46049e+04	4.3e+02
3.6790e+03	2.5e+00	2.64205e+04	1.2e+03
3.6827e+03	2.5e+00	2.74801e+04	9.3e+02
3.6864e+03	2.5e+00	2.99740e+04	8.9e+02
3.6901e+03	2.5e+00	3.15817e+04	9.4e+02
3.6939e+03	2.5e+00	3.31516e+04	9.5e+02
3.6976e+03	2.5e+00	3.52433e+04	8.5e+02
3.7013e+03	2.5e+00	4.07120e+04	1.4e+03
3.7050e+03	2.5e+00	4.40815e+04	1.0e+03
3.7087e+03	2.5e+00	4.39155e+04	9.2e+02
