# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.6165e+03	2.4e+00	1.53109e+04	1.9e+02
3.6202e+03	2.4e+00	1.49845e+04	1.6e+02
3.6239e+03	2.4e+00	1.53862e+04	5.0e+02
3.6277e+03	2.4e+00	1.47653e+04	2.6e+02
3.6314e+03	2.4e+00	1.64695e+04	6.4e+02
3.6351e+03	2.4e+00	1.83502e+04	5.7e+02
3.6388e+03	2.4e+00	1.81419e+04	7.7e+02
3.6425e+03	2.4e+00	1.78131e+04	3.7e+02
3.6462e+03	2.4e+00	1.81853e+04	2.1e+02
3.6500e+03	2.4e+00	1.98057e+04	4.1e+02
3.6537e+03	2.4e+00	2.09438e+04	2.7e+02
3.6574e+03	2.4e+00	2.05202e+04	8.2e+02
3.6611e+03	2.4e+00	2.50903e+04	2.0e+02
3.6648e+03	2.4e+00	2.33027e+04	6.4e+02
3.6685e+03	2.4e+00	2.64095e+04	1.8e+02
3.6723e+03	2.4e+00	2.80111e+04	4.2e+02
3.6760e+03	2.4e+00	2.87786e+04	2.0e+02
3.6797e+03	2.4e+00	2.95920e+04	5.5e+02
3.6834e+03	2.4e+00	2.96650e+04	1.0e+03
3.6871e+03	2.4e+00	3.37728e+04	8.8e+02
3.6908e+03	2.4e+00	3.60128e+04	4.2e+02
3.6945e+03	2.4e+00	3.91223e+04	1.1e+03
3.6982e+03	2.4e+00	4.37270e+04	5.1e+02
3.7019e+03	2.4e+00	4.84040e+04	5.2e+02
3.7057e+03	2.4e+00	5.22556e+04	5.1e+02
3.7094e+03	2.4e+00	4.99132e+04	5.8e+02
3.7131e+03	2.4e+00	5.18295e+04	6.1e+02
3.7168e+03	2.4e+00	5.75012e+04	4.0e+02
3.7205e+03	2.4e+00	6.81061e+04	7.0e+02
3.7242e+03	2.4e+00	7.99271e+04	2.2e+03
3.7279e+03	2.4e+00	7.46960e+04	3.0e+03
3.7316e+03	2.4e+00	6.49810e+04	7.5e+02
3.7353e+03	2.4e+00	6.99747e+04	1.6e+03
3.7390e+03	2.4e+00	7.96657e+04	1.1e+03
3.7427e+03	2.4e+00	1.04708e+05	1.1e+03
3.7464e+03	2.4e+00	1.29613e+05	3.1e+03
3.7501e+03	2.4e+00	1.42245e+05	1.2e+03
3.7539e+03	2.4e+00	1.39605e+05	1.3e+03
3.7576e+03	2.4e+00	1.25128e+05	1.2e+03
3.7613e+03	2.4e+00	1.04800e+05	8.9e+02
3.7650e+03	2.4e+00	1.03648e+05	1.9e+03
3.7687e+03	2.4e+00	1.27968e+05	4.5e+02
3.7724e+03	2.4e+00	1.72713e+05	4.0e+03
3.7761e+03	2.4e+00	2.07272e+05	3.3e+03
3.7798e+03	2.4e+00	2.47038e+05	6.2e+03
3.7835e+03	2.4e+00	2.65554e+05	2.5e+03
3.7872e+03	2.4e+00	2.67276e+05	6.3e+03
3.7909e+03	2.4e+00	2.60563e+05	3.3e+03
3.7946e+03	2.4e+00	2.42818e+05	3.6e+03
3.7983e+03	2.4e+00	2.07505e+05	3.4e+03
3.8020e+03	2.4e+00	1.62604e+05	4.1e+03
3.8057e+03	2.4e+00	1.63916e+05	1.9e+03
3.8094e+03	2.4e+00	2.10023e+05	3.2e+03
3.8131e+03	2.4e+00	2.80332e+05	2.8e+03
3.8168e+03	2.4e+00	3.48368e+05	6.5e+03
3.8205e+03	2.4e+00	3.99657e+05	7.9e+03
3.8242e+03	2.4e+00	4.38765e+05	7.0e+03
3.8279e+03	2.4e+00	4.74438e+05	5.4e+03
3.8315e+03	2.4e+00	5.13750e+05	9.0e+03
3.8352e+03	2.4e+00	5.32688e+05	7.5e+03
3.8389e+03	2.4e+00	5.35855e+05	1.1e+04
3.8426e+03	2.4e+00	5.32247e+05	1.0e+04
3.8463e+03	2.4e+00	5.09333e+05	6.2e+03
3.8500e+03	2.4e+00	4.54299e+05	1.2e+04
3.8537e+03	2.4e+00	3.92906e+05	9.9e+03
3.8574e+03	2.4e+00	3.05541e+05	6.9e+03
3.8611e+03	2.4e+00	2.65274e+05	7.6e+03
3.8648e+03	2.4e+00	2.92215e+05	2.8e+03
3.8685e+03	2.4e+00	3.96172e+05	1.0e+04
3.8722e+03	2.4e+00	5.04238e+05	1.1e+04
3.8759e+03	2.4e+00	5.98775e+05	1.5e+04
3.8795e+03	2.4e+00	6.68802e+05	6.8e+03
3.8832e+03	2.4e+00	7.36687e+05	1.9e+04
3.8869e+03	2.4e+00	7.56604e+05	1.6e+04
3.8906e+03	2.4e+00	8.05562e+05	1.4e+04
3.8943e+03	2.4e+00	8.33035e+05	2.4e+04
3.8980e+03	2.4e+00	8.35889e+05	1.8e+04
3.9017e+03	2.4e+00	8.40820e+05	1.3e+04
3.9054e+03	2.4e+00	8.04099e+05	1.4e+04
3.9090e+03	2.4e+00	8.05257e+05	2.1e+04
3.9127e+03	2.4e+00	8.29043e+05	2.4e+04
3.9164e+03	2.4e+00	8.36113e+05	1.7e+04
3.9201e+03	2.4e+00	8.36960e+05	2.2e+04
3.9238e+03	2.4e+00	8.34028e+05	1.9e+04
3.9275e+03	2.4e+00	7.94412e+05	1.3e+04
3.9312e+03	2.4e+00	7.45052e+05	1.8e+04
3.9348e+03	2.4e+00	6.73451e+05	1.1e+04
3.9385e+03	2.4e+00	5.66996e+05	1.4e+04
3.9422e+03	2.4e+00	4.30493e+05	9.2e+03
3.9459e+03	2.4e+00	3.56176e+05	7.7e+03
3.9496e+03	2.4e+00	3.60576e+05	6.4e+03
3.9532e+03	2.4e+00	4.73824e+05	4.7e+03
3.9569e+03	2.4e+00	6.12497e+05	1.2e+04
3.9606e+03	2.4e+00	7.09958e+05	1.4e+04
3.9643e+03	2.4e+00	8.04210e+05	1.6e+04
3.9680e+03	2.4e+00	8.56731e+05	1.2e+04
3.9716e+03	2.4e+00	8.97584e+05	2.9e+04
3.9753e+03	2.4e+00	9.28198e+05	1.5e+04
3.9790e+03	2.4e+00	9.16492e+05	2.2e+04
3.9827e+03	2.4e+00	9.51359e+05	2.4e+04
3.9864e+03	2.4e+00	9.43604e+05	1.7e+04
3.9900e+03	2.4e+00	9.52569e+05	1.8e+04
3.9937e+03	2.4e+00	9.51240e+05	1.6e+04
3.9974e+03	2.4e+00	9.43479e+05	2.3e+04
4.0011e+03	2.4e+00	9.44221e+05	1.9e+04
4.0047e+03	2.4e+00	9.39652e+05	1.8e+04
4.0084e+03	2.4e+00	9.44148e+05	1.7e+04
4.0121e+03	2.4e+00	9.29215e+05	1.3e+04
4.0158e+03	2.4e+00	9.54078e+05	1.4e+04
4.0194e+03	2.4e+00	9.34534e+05	1.3e+04
4.0231e+03	2.4e+00	9.27023e+05	1.8e+04
4.0268e+03	2.4e+00	9.23996e+05	1.2e+04
4.0304e+03	2.4e+00	9.10399e+05	1.6e+04
4.0341e+03	2.4e+00	8.98803e+05	1.6e+04
4.0378e+03	2.4e+00	8.76221e+05	1.5e+04
4.0415e+03	2.4e+00	8.76139e+05	1.1e+04
4.0451e+03	2.4e+00	8.63959e+05	1.7e+04
4.0488e+03	2.4e+00	8.47644e+05	1.1e+04
