# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
4.1894e+03	3.7e+00	7.71270e+02	2.1e+01
4.1929e+03	3.7e+00	1.12680e+03	2.1e+01
4.1964e+03	3.7e+00	1.13156e+03	2.3e+01
4.2000e+03	3.7e+00	7.75562e+02	2.0e+01
4.2035e+03	3.7e+00	3.28065e+02	1.2e+01
4.2070e+03	3.7e+00	2.50683e+02	1.5e+01
4.2105e+03	3.6e+00	2.76092e+02	1.9e+01
4.2140e+03	3.6e+00	2.82467e+02	1.9e+01
4.2175e+03	3.6e+00	3.18866e+02	9.0e+00
4.2210e+03	3.6e+00	3.59169e+02	7.9e+00
4.2246e+03	3.6e+00	2.75611e+02	1.2e+01
4.2281e+03	3.6e+00	2.88118e+02	2.1e+01
4.2316e+03	3.6e+00	2.55545e+02	1.0e+01
4.2351e+03	3.6e+00	2.25060e+02	1.3e+01
4.2386e+03	3.6e+00	2.06272e+02	1.9e+01
4.2422e+03	3.6e+00	2.07784e+02	1.7e+01
4.2457e+03	3.6e+00	2.43328e+02	7.4e+00
4.2492e+03	3.6e+00	3.82450e+02	1.6e+01
4.2527e+03	3.6e+00	5.67216e+02	1.3e+01
4.2562e+03	3.6e+00	6.46588e+02	2.0e+01
4.2598e+03	3.6e+00	5.86277e+02	1.5e+01
4.2633e+03	3.6e+00	4.11565e+02	1.3e+01
4.2668e+03	3.5e+00	4.86682e+02	6.3e+00
4.2703e+03	3.5e+00	6.17100e+02	1.7e+01
4.2739e+03	3.5e+00	5.86406e+02	2.4e+01
4.2774e+03	3.5e+00	4.11347e+02	2.2e+01
4.2809e+03	3.5e+00	2.10456e+02	1.5e+01
4.2844e+03	3.5e+00	1.76583e+02	1.6e+01
4.2880e+03	3.5e+00	1.81737e+02	1.3e+01
4.2915e+03	3.5e+00	2.76956e+02	2.4e+01
4.2950e+03	3.5e+00	3.05981e+02	2.0e+01
4.2985e+03	3.5e+00	2.55016e+02	8.1e+00
4.3021e+03	3.5e+00	2.45055e+02	9.9e+00
4.3056e+03	3.5e+00	2.28072e+02	1.6e+01
4.3091e+03	3.5e+00	1.94805e+02	1.6e+01
4.3126e+03	3.5e+00	2.28494e+02	1.5e+01
4.3162e+03	3.4e+00	1.66584e+02	1.5e+01
4.3197e+03	3.4e+00	1.88542e+02	1.3e+01
4.3232e+03	3.4e+00	3.06533e+02	1.6e+01
4.3268e+03	3.4e+00	4.42163e+02	2.3e+01
4.3303e+03	3.4e+00	4.82463e+02	1.6e+01
4.3338e+03	3.4e+00	4.59861e+02	1.8e+01
4.3374e+03	3.4e+00	3.85641e+02	1.7e+01
4.3409e+03	3.4e+00	4.91485e+02	3.1e+01
4.3444e+03	3.4e+00	4.36133e+02	1.0e+01
4.3480e+03	3.4e+00	3.37753e+02	1.2e+01
