# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.8070e+03	4.9e+00	1.1368e+00	1.2e-01
3.8105e+03	4.9e+00	1.2761e+00	1.7e-01
3.8139e+03	4.8e+00	1.1425e+00	9.6e-02
3.8174e+03	4.8e+00	1.1644e+00	1.4e-01
3.8208e+03	4.8e+00	1.4751e+00	1.5e-01
3.8242e+03	4.8e+00	1.4530e+00	1.4e-01
3.8277e+03	4.7e+00	1.4162e+00	1.6e-01
3.8311e+03	4.7e+00	1.3898e+00	1.8e-01
3.8345e+03	4.7e+00	1.5132e+00	1.9e-01
3.8380e+03	4.7e+00	1.6724e+00	1.7e-01
3.8414e+03	4.6e+00	1.8128e+00	1.7e-01
3.8449e+03	4.6e+00	1.6213e+00	1.3e-01
3.8483e+03	4.6e+00	1.6802e+00	1.3e-01
3.8518e+03	4.6e+00	1.8854e+00	1.8e-01
3.8552e+03	4.6e+00	1.8165e+00	1.4e-01
3.8587e+03	4.5e+00	1.9798e+00	1.8e-01
3.8621e+03	4.5e+00	2.2292e+00	2.3e-01
3.8655e+03	4.5e+00	2.2260e+00	2.1e-01
3.8690e+03	4.5e+00	2.3282e+00	2.0e-01
3.8724e+03	4.5e+00	2.2664e+00	2.4e-01
3.8759e+03	4.4e+00	2.3394e+00	2.1e-01
3.8793e+03	4.4e+00	2.2229e+00	1.9e-01
3.8828e+03	4.4e+00	2.2503e+00	2.3e-01
3.8863e+03	4.4e+00	2.3414e+00	2.2e-01
3.8897e+03	4.4e+00	2.2851e+00	2.0e-01
3.8932e+03	4.4e+00	2.3171e+00	1.5e-01
3.8966e+03	4.3e+00	2.6446e+00	2.2e-01
3.9001e+03	4.3e+00	2.7389e+00	2.1e-01
3.9035e+03	4.3e+00	2.7324e+00	2.0e-01
3.9070e+03	4.3e+00	2.7776e+00	2.5e-01
3.9104e+03	4.3e+00	2.8437e+00	2.3e-01
3.9139e+03	4.3e+00	2.6889e+00	1.7e-01
3.9174e+03	4.2e+00	2.6643e+00	1.7e-01
3.9208e+03	4.2e+00	2.5707e+00	1.9e-01
3.9243e+03	4.2e+00	2.8019e+00	2.2e-01
3.9278e+03	4.2e+00	3.0312e+00	2.4e-01
3.9312e+03	4.2e+00	2.8031e+00	1.9e-01
3.9347e+03	4.2e+00	2.7796e+00	2.1e-01
