# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.700918821717356877e+03	2.549830423183112593e+00	2.138051057045788017e+00	2.053694294946899201e-01
3.703535267827753160e+03	2.544801606268333405e+00	2.175945669492470813e+00	2.065074750906079892e-01
3.706151496348719775e+03	2.539779469386068023e+00	2.123229994650505770e+00	2.026413134548802897e-01
3.708767507280254904e+03	2.534764017047099305e+00	2.105697703452720670e+00	1.989081929794414560e-01
3.711383300622360366e+03	2.529755253780680668e+00	2.219149031798873128e+00	2.024877984550271237e-01
3.713998876375034342e+03	2.524753184134622241e+00	2.230375406245277858e+00	2.002831181152780471e-01
3.716614234538278652e+03	2.519757812675351261e+00	2.313878141872779626e+00	2.005083162977159827e-01
3.719229375112093294e+03	2.514769143987972910e+00	2.402255549006349522e+00	2.049240916175945892e-01
3.721844298096476450e+03	2.509787182676339601e+00	2.500588016486419374e+00	2.187118151963774459e-01
3.724459003491429030e+03	2.504811933363108700e+00	2.396189457285220037e+00	2.009577578955576427e-01
3.727073491296951943e+03	2.499843400689796713e+00	2.448173556080643909e+00	2.219602422999811808e-01
3.729687761513044279e+03	2.494881589316868098e+00	2.466725802762894215e+00	2.161592836246736538e-01
3.732301814139706039e+03	2.489926503923773460e+00	2.547817976972024834e+00	2.063031258846960703e-01
3.734915649176937222e+03	2.484978149209022824e+00	2.523656863782284265e+00	1.895257113214486866e-01
3.737529266624737829e+03	2.480036529890256691e+00	2.745384189469177283e+00	2.114305678721427884e-01
3.740142666483107860e+03	2.475101650704290446e+00	2.905809576486151347e+00	2.207023821146282261e-01
3.742755848752047314e+03	2.470173516407190739e+00	2.965139400021195915e+00	2.238785624805339214e-01
3.745368813431557101e+03	2.465252131774334554e+00	3.074217496470730726e+00	2.242203603646663324e-01
3.747981560521636311e+03	2.460337501600467824e+00	3.041215003845409548e+00	2.236196646922751219e-01
3.750594090022284036e+03	2.455429630699776045e+00	3.075882838651518014e+00	2.197343397298305856e-01
3.753206401933502093e+03	2.450528523905939782e+00	3.165576223693466140e+00	2.404024319233928342e-01
3.755818496255289574e+03	2.445634186072195515e+00	3.037078681093701160e+00	2.304307569524684240e-01
3.758430372987647388e+03	2.440746622071403138e+00	2.967152352110170810e+00	2.140911386185130605e-01
3.761042032130573716e+03	2.435865836796109463e+00	3.063556663254542123e+00	2.244803946972369069e-01
3.763653473684070377e+03	2.430991835158588188e+00	3.152469305432390012e+00	2.138287811655330273e-01
3.766264697648135552e+03	2.426124622090941596e+00	3.380897096615554265e+00	2.278630958722660527e-01
3.768875704022771060e+03	2.421264202545121869e+00	3.566373145503777931e+00	2.431259832328793724e-01
3.771486492807975992e+03	2.416410581493013687e+00	3.694396831061865338e+00	2.401274624623641329e-01
3.774097064003750347e+03	2.411563763926485304e+00	3.674816115559246477e+00	2.287359777333698441e-01
3.776707417610094126e+03	2.406723754857458264e+00	3.859159915672341512e+00	2.517338554751147872e-01
3.779317553627008238e+03	2.401890559317958918e+00	3.737598620937496730e+00	2.283059144817377595e-01
3.781927472054490863e+03	2.397064182360189033e+00	3.758893903440758244e+00	2.258995522467986128e-01
3.784537172892543822e+03	2.392244629056567540e+00	3.804632052515539264e+00	2.220073708546904667e-01
3.787146656141166204e+03	2.387431904499813129e+00	3.855330833628665577e+00	2.258411338938449697e-01
3.789755921800358010e+03	2.382626013802980669e+00	4.002986761673499316e+00	2.368580976185017950e-01
3.792364969870119239e+03	2.377826962099537145e+00	3.950713852145259164e+00	2.315259311924436347e-01
3.794973800350449892e+03	2.373034754543414060e+00	3.784120459121721236e+00	2.249556988368384969e-01
3.797582413241349968e+03	2.368249396309068278e+00	3.736989840210239056e+00	2.401141700679412516e-01
3.800190808542820378e+03	2.363470892591531758e+00	3.694962766050167158e+00	2.149385609936353692e-01
3.802798986254859301e+03	2.358699248606481724e+00	3.835462194792118140e+00	2.166684962557845762e-01
3.805406946377468557e+03	2.353934469590291734e+00	4.004606716989519200e+00	2.213427554783571338e-01
3.808014688910647237e+03	2.349176560800080971e+00	4.307649885819613722e+00	2.353796057246774487e-01
3.810622213854395341e+03	2.344425527513796848e+00	4.472830621562239095e+00	2.376429226083456581e-01
3.813229521208712868e+03	2.339681375030239430e+00	4.566670616880046829e+00	2.363765676202760069e-01
3.815836610973599818e+03	2.334944108669140039e+00	4.723904196158060564e+00	2.629945756734101692e-01
3.818443483149057101e+03	2.330213733771205220e+00	4.635234404681413345e+00	2.263647698869065417e-01
3.821050137735082899e+03	2.325490255698180686e+00	4.802999561858004363e+00	2.323536692145853066e-01
3.823656574731679029e+03	2.320773679832893066e+00	4.933789706779893258e+00	2.495570295584361720e-01
3.826262794138844583e+03	2.316064011579334725e+00	5.059540715838612535e+00	2.523893848355731606e-01
3.828868795956579561e+03	2.311361256362674865e+00	5.067775094792007273e+00	2.404734001269407395e-01
3.831474580184883962e+03	2.306665419629349234e+00	5.147223511690564024e+00	2.592034234445382279e-01
3.834080146823757786e+03	2.301976506847092541e+00	5.058573007917992470e+00	2.444055853942523893e-01
3.836685495873201035e+03	2.297294523505005959e+00	5.095252735460268134e+00	2.475098565789509153e-01
3.839290627333214616e+03	2.292619475113599758e+00	5.130014541215898838e+00	2.353581139584668969e-01
3.841895541203797620e+03	2.287951367204845710e+00	5.178125602243938808e+00	2.456160625212790161e-01
3.844500237484949139e+03	2.283290205332242362e+00	5.199409084430122618e+00	2.425051923147178712e-01
3.847104716176670991e+03	2.278635995070837694e+00	5.287549349512962849e+00	2.402760637824421786e-01
3.849708977278962266e+03	2.273988742017315268e+00	5.080679937137859703e+00	2.335272825260327478e-01
3.852313020791823874e+03	2.269348451790016430e+00	4.942786682196652848e+00	2.344773345235701134e-01
3.854916846715253996e+03	2.264715130029003376e+00	4.832946423911307576e+00	2.198102977055900464e-01
3.857520455049254451e+03	2.260088782396104889e+00	4.907605564029985601e+00	2.208716857614405338e-01
3.860123845793823421e+03	2.255469414574958531e+00	5.112544198031184095e+00	2.258946531908235522e-01
3.862727018948962723e+03	2.250857032271086577e+00	5.362177572575233420e+00	2.030763987591874264e-01
3.865329974514671449e+03	2.246251641211894245e+00	5.663235603328056200e+00	2.374927603010249244e-01
3.867932712490949598e+03	2.241653247146766059e+00	5.640832316990145756e+00	2.345755615931520155e-01
3.870535232877797171e+03	2.237061855847079173e+00	5.588620538037228691e+00	2.379746948507099336e-01
3.873137535675215076e+03	2.232477473106265098e+00	5.509697707414552781e+00	2.162973476256896954e-01
3.875739620883201496e+03	2.227900104739843901e+00	5.659303270100797256e+00	2.341969044674070688e-01
3.878341488501758249e+03	2.223329756585485484e+00	5.632068301757866102e+00	2.183137775026399163e-01
3.880943138530884426e+03	2.218766434503032681e+00	5.787175338566944660e+00	2.270169148542429405e-01
3.883544570970580025e+03	2.214210144374556766e+00	5.697902684012927210e+00	2.159099249681179500e-01
3.886145785820845049e+03	2.209660892104402752e+00	5.771104448386290997e+00	2.175865744517214151e-01
3.888746783081679496e+03	2.205118683619220477e+00	5.865415537293489301e+00	2.478929753000204406e-01
3.891347562753083366e+03	2.200583524868004570e+00	5.657663018082510931e+00	2.225675297420416365e-01
3.893948124835057570e+03	2.196055421822161513e+00	5.791852292742769137e+00	2.313440778694921818e-01
3.896548469327600287e+03	2.191534380475507415e+00	5.689303851111326971e+00	2.108849326828824144e-01
3.899148596230713338e+03	2.187020406844340403e+00	5.640531955263622166e+00	2.241042116898196712e-01
3.901748505544395812e+03	2.182513506967453498e+00	5.489620705344316676e+00	2.078283619110191938e-01
3.904348197268647709e+03	2.178013686906200785e+00	5.455940974155205403e+00	1.943680413190974066e-01
3.906947671403469030e+03	2.173520952744502299e+00	5.515484724339899003e+00	1.984212637381996269e-01
3.909546927948860684e+03	2.169035310588904419e+00	5.571222255963676595e+00	2.033718525788347498e-01
3.912145966904820853e+03	2.164556766568600743e+00	5.696359159302347486e+00	1.983400726841966222e-01
3.914744788271351354e+03	2.160085326835474717e+00	5.985846946607847663e+00	2.091164805535853932e-01
3.917343392048450369e+03	2.155620997564119179e+00	5.814729068019022229e+00	1.985932747818688615e-01
3.919941778236119717e+03	2.151163784951878544e+00	5.773519993048790155e+00	1.873056102328330141e-01
3.922539946834358489e+03	2.146713695218895435e+00	5.832530933849302102e+00	2.009107127847593599e-01
3.925137897843166684e+03	2.142270734608103577e+00	5.753199109250244803e+00	1.928413759144023132e-01
3.927735631262545212e+03	2.137834909385291748e+00	5.819765603588881397e+00	2.011001553848428269e-01
3.930333147092492254e+03	2.133406225839108217e+00	5.734801996166805083e+00	1.811462067750151117e-01
3.932930445333009629e+03	2.128984690281099379e+00	5.571434756301129276e+00	1.874303013995101130e-01
3.935527525984095519e+03	2.124570309045738625e+00	5.251907392651149920e+00	1.730143760897362437e-01
3.938124389045751741e+03	2.120163088490452985e+00	4.907382702967320043e+00	1.683407880266829248e-01
3.940721034517977387e+03	2.115763034995632452e+00	4.560740277757972194e+00	1.508445365834081009e-01
3.943317462400772456e+03	2.111370154964664181e+00	4.512935085360491705e+00	1.293601545170625366e-01
3.945913672694137858e+03	2.106984454823962238e+00	4.759968047964942883e+00	1.316406269544170837e-01
3.948509665398071775e+03	2.102605941022976932e+00	5.057441108733369717e+00	1.356551165390585678e-01
3.951105440512575115e+03	2.098234620034197917e+00	5.414731194524441626e+00	1.562959260678199735e-01
3.953700998037648787e+03	2.093870498353236798e+00	5.436172853845731012e+00	1.553661430128351617e-01
3.956296337973290974e+03	2.089513582498764954e+00	5.538047100249514187e+00	1.499125699466413164e-01
3.958891460319503494e+03	2.085163879012576160e+00	5.529706039561841813e+00	1.480356681623746784e-01
3.961486365076286347e+03	2.080821394459597240e+00	5.510467376826186481e+00	1.669442948815217931e-01
3.964081052243637714e+03	2.076486135427892954e+00	5.460299384309737825e+00	1.503788134058161863e-01
3.966675521821558505e+03	2.072158108528676213e+00	5.476032080131711055e+00	1.540084305567061551e-01
3.969269773810049628e+03	2.067837320396341827e+00	5.420418685534679426e+00	1.515885260283204861e-01
3.971863808209109266e+03	2.063523777688452299e+00	5.479937747452622965e+00	1.515539889506508642e-01
3.974457625018739236e+03	2.059217487085752474e+00	5.404007454996208715e+00	1.402852947472995326e-01
3.977051224238938630e+03	2.054918455292188639e+00	5.339683249838292234e+00	1.367048329357068992e-01
3.979644605869707448e+03	2.050626689034895200e+00	5.142008701554174444e+00	1.248118754914613743e-01
3.982237769911045689e+03	2.046342195064236869e+00	5.046375180186106313e+00	1.279351162252568563e-01
3.984830716362954263e+03	2.042064980153761145e+00	4.995671709645236547e+00	1.324427739683984862e-01
3.987423445225431351e+03	2.037795051100232957e+00	5.056136910437115439e+00	1.323959992276624031e-01
3.990015956498478772e+03	2.033532414723633330e+00	5.121669074566345792e+00	1.294669070904466146e-01
3.992608250182095617e+03	2.029277077867146950e+00	5.043096147802802243e+00	1.224381637713934656e-01
3.995200326276280975e+03	2.025029047397176818e+00	4.965957031283256384e+00	1.240695771096249900e-01
3.997792184781036667e+03	2.020788330203315386e+00	4.809246828184256195e+00	1.281659135844616104e-01
4.000383825696362692e+03	2.016554933198374311e+00	4.682706749570385796e+00	1.073985390870305368e-01
4.002975249022257231e+03	2.012328863318328498e+00	4.745909006510582451e+00	1.020905997362655110e-01
4.005566454758721193e+03	2.008110127522374277e+00	4.769624516353399457e+00	1.059968150269812448e-01
4.008157442905755488e+03	2.003898732792840587e+00	4.770753920994323494e+00	1.163941523352038376e-01
4.010748213463359207e+03	1.999694686135256916e+00	4.820367195947428129e+00	1.104367179652696179e-01
4.013338766431532349e+03	1.995497994578280698e+00	4.856903879597555651e+00	1.126621301399667319e-01
4.015929101810274915e+03	1.991308665173697978e+00	4.756768477059265088e+00	1.170262203981042443e-01
4.018519219599586904e+03	1.987126704996420745e+00	4.679060169343030040e+00	1.085992948078268044e-01
4.021109119799468317e+03	1.982952121144459179e+00	4.682484530663315603e+00	1.062330942034332287e-01
4.023698802409920063e+03	1.978784920738892561e+00	4.611896608100282791e+00	1.109362250668051580e-01
4.026288267430940323e+03	1.974625110923863280e+00	4.564846634919675239e+00	1.111682696794649011e-01
4.028877514862530916e+03	1.970472698866543526e+00	4.526128556301700634e+00	9.944931084850008873e-02
4.031466544704690932e+03	1.966327691757111529e+00	4.449161081976314769e+00	9.671818638616190567e-02
4.034055356957420372e+03	1.962190096808718032e+00	4.411084209643507670e+00	9.872508881059839647e-02
4.036643951620719236e+03	1.958059921257465863e+00	4.352613953591883522e+00	9.839249790466080003e-02
4.039232328694587522e+03	1.953937172362363528e+00	4.328096071095801634e+00	1.071449692391115843e-01
4.041820488179025233e+03	1.949821857405326320e+00	4.303466613531289120e+00	9.668243561206980863e-02
4.044408430074033276e+03	1.945713983691093274e+00	4.274336174343756234e+00	9.262282303857753696e-02
4.046996154379610743e+03	1.941613558547223839e+00	4.218183259412691122e+00	9.629836824911068571e-02
4.049583661095757634e+03	1.937520589324038589e+00	4.129224470546423831e+00	8.990897910576042817e-02
4.052170950222473039e+03	1.933435083394591691e+00	4.115293412334702694e+00	9.046737424887744961e-02
4.054758021759759686e+03	1.929357048154622722e+00	4.068906219731302620e+00	8.103674944406280556e-02
4.057344875707614847e+03	1.925286491022502489e+00	4.056810290739288227e+00	8.736182731410764568e-02
4.059931512066039431e+03	1.921223419439187285e+00	4.023186238811394588e+00	8.178962773941744757e-02
4.062517930835034349e+03	1.917167840868192696e+00	3.999684076554108181e+00	7.638548270812008101e-02
4.065104132014597781e+03	1.913119762795489009e+00	3.968108139745063934e+00	7.271157143245969567e-02
4.067690115604731545e+03	1.909079192729492558e+00	3.877330215489491305e+00	7.854003958799572749e-02
4.070275881605434734e+03	1.905046138201009764e+00	3.870757501826530778e+00	7.459106129696937981e-02
4.072861430016707345e+03	1.901020606763134779e+00	3.719397342497730019e+00	6.844133821412191898e-02
4.075446760838549380e+03	1.897002605991219060e+00	3.527016944393366327e+00	6.453958199132862894e-02
4.078031874070960839e+03	1.892992143482804535e+00	3.318653425521758127e+00	5.664942040221300490e-02
4.080616769713942631e+03	1.888989226857549442e+00	3.139968065941453723e+00	5.220604074700464781e-02
4.083201447767492937e+03	1.884993863757160382e+00	3.196768519737299918e+00	5.518896365976041357e-02
4.085785908231613575e+03	1.881006061845325483e+00	3.309189225502771059e+00	5.885466340431177307e-02
4.088370151106303638e+03	1.877025828807637131e+00	3.524215573543277635e+00	6.766278797295366410e-02
4.090954176391563124e+03	1.873053172351509810e+00	3.607781515038143372e+00	6.939706813484942949e-02
4.093537984087392033e+03	1.869088100206096836e+00	3.586575828120113663e+00	6.785856305485087059e-02
4.096121574193791275e+03	1.865130620122225080e+00	3.564202415869094587e+00	6.724937310988719774e-02
4.098704946710759032e+03	1.861180739872301704e+00	3.570766298763587532e+00	6.848630858115799247e-02
4.101288101638297121e+03	1.857238467250220904e+00	3.515560285331311263e+00	7.022490585919285988e-02
4.103871038976403725e+03	1.853303810071264879e+00	3.488863129162793175e+00	6.956556743705427648e-02
4.106453758725080661e+03	1.849376776172036330e+00	3.460165405470382538e+00	6.768109959597384817e-02
4.109036260884327021e+03	1.845457373410335444e+00	3.382357168791112034e+00	6.790726250152402665e-02
4.111618545454143714e+03	1.841545609665080852e+00	3.345242680171778282e+00	6.790389088455298094e-02
4.114200612434528921e+03	1.837641492836201929e+00	3.376914668385910367e+00	6.235666753479335300e-02
