# lambda [A]	Dlambda [A]	specval [counts]
4.132268988793174685e+03	1.810527456647581301e+00	3.234594246178673416e+02
4.134849315058116190e+03	1.806684802031712112e+00	3.912461479074099771e+02
4.137429423733628028e+03	1.802849866358504416e+00	3.831018402158786671e+02
4.140009314819708379e+03	1.799022657731666808e+00	3.686481722998952932e+02
4.142588988316359064e+03	1.795203184274580144e+00	4.451269778157491714e+02
4.145168444223579172e+03	1.791391454130178751e+00	4.765532381951457523e+02
4.147747682541368704e+03	1.787587475460768127e+00	5.666715817185809101e+02
4.150326703269728569e+03	1.783791256447926354e+00	5.794052899332722291e+02
4.152905506408656947e+03	1.780002805292308476e+00	4.981308631302502477e+02
4.155484091958155659e+03	1.776222130213517270e+00	4.206026628054179355e+02
4.158062459918222885e+03	1.772449239449964242e+00	3.846034698872422837e+02
4.160640610288860444e+03	1.768684141258636267e+00	4.264256946530410914e+02
4.163218543070067426e+03	1.764926843915020749e+00	3.589912026052317060e+02
4.165796258261843832e+03	1.761177355712873815e+00	3.454918834059145638e+02
4.168373755864189661e+03	1.757435684964071987e+00	3.982608461759982106e+02
4.170951035877105824e+03	1.753701839998417444e+00	3.897623358447188480e+02
4.173528098300590500e+03	1.749975829163493257e+00	4.210114436196497536e+02
4.176104943134645509e+03	1.746257660824441116e+00	4.348945139628925176e+02
4.178681570379269942e+03	1.742547343363793022e+00	4.441415296748319292e+02
4.181257980034462889e+03	1.738844885181273003e+00	4.653253012109813085e+02
4.183834172100227079e+03	1.735150294693602158e+00	5.700669794739471854e+02
4.186410146576559782e+03	1.731463580334288377e+00	7.162291276000994458e+02
4.188985903463461909e+03	1.727784750553460258e+00	7.961159746719945360e+02
4.191561442760934369e+03	1.724113813817597318e+00	7.501110981994697795e+02
4.194136764468975343e+03	1.720450778609369902e+00	6.179893175792219608e+02
4.196711868587585741e+03	1.716795653427378499e+00	4.936075146073640099e+02
4.199286755116766471e+03	1.713148446785975887e+00	3.990089434753094793e+02
4.201861424056516626e+03	1.709509167215005121e+00	3.514697833367633848e+02
4.204435875406836203e+03	1.705877823259589254e+00	3.323533974842252405e+02
4.207010109167726114e+03	1.702254423479907297e+00	3.131753718209766362e+02
4.209584125339184538e+03	1.698638976450897786e+00	3.295286639824427084e+02
4.212157923921213296e+03	1.695031490762091142e+00	3.716812019928386235e+02
4.214731504913811477e+03	1.691431975017309464e+00	3.712382526475725513e+02
4.217304868316978173e+03	1.687840437834438490e+00	3.600317734700645360e+02
4.219878014130715201e+03	1.684256887845161144e+00	3.715143448062910352e+02
4.222450942355022562e+03	1.680681333694671986e+00	3.712850862553289062e+02
4.225023652989898437e+03	1.677113784041466715e+00	3.379100399120152929e+02
4.227596146035343736e+03	1.673554247557004437e+00	3.214338340207428928e+02
4.230168421491359368e+03	1.670002732925479405e+00	3.536650122960735416e+02
4.232740479357944423e+03	1.666459248843517704e+00	3.486207011192404366e+02
4.235312319635097992e+03	1.662923804019890373e+00	3.216063153288734497e+02
4.237883942322821895e+03	1.659396407175227850e+00	3.517646958921610576e+02
4.240455347421115221e+03	1.655877067041724660e+00	3.270755697493702883e+02
4.243026534929978880e+03	1.652365792362814778e+00	3.007968813744017211e+02
4.245597504849411052e+03	1.648862591892908291e+00	3.320888922605540756e+02
4.248168257179413558e+03	1.645367474397040120e+00	4.048868558934775592e+02
4.250738791919984578e+03	1.641880448650557600e+00	4.674680325235775058e+02
4.253309109071125931e+03	1.638401523438813845e+00	5.037085132020749256e+02
4.255879208632836708e+03	1.634930707556819796e+00	5.187180011890008018e+02
4.258449090605116908e+03	1.631468009808938913e+00	4.602694216337910689e+02
4.261018754987966531e+03	1.628013439008517471e+00	3.981356548369065536e+02
4.263588201781386488e+03	1.624567003977556601e+00	4.192909585457479693e+02
4.266157430985374958e+03	1.621128713546343691e+00	4.296468113375053690e+02
4.268726442599933762e+03	1.617698576553122658e+00	4.314031661714377606e+02
4.271295236625061989e+03	1.614276601843730008e+00	4.399531569391168659e+02
4.273863813060759639e+03	1.610862798271183394e+00	3.594064881627739396e+02
4.276432171907026714e+03	1.607457174695382074e+00	3.449750150409114440e+02
4.279000313163863211e+03	1.604059739982672594e+00	3.531994325286863727e+02
