# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.636747922514304264e+03	2.675111009953438757e+00	1.459014393816482125e+00	2.137385854755949333e-01
3.639369699565746487e+03	2.669919891490241337e+00	1.424757110709889973e+00	1.991187790625161547e-01
3.641991259027759043e+03	2.664735348144715132e+00	1.454403495804641677e+00	2.057022302108212908e-01
3.644612600900340567e+03	2.659557383994620050e+00	1.439901860391795463e+00	2.088533845222806107e-01
3.647233725183491515e+03	2.654386003134650895e+00	1.432500965768411794e+00	2.036287756505288926e-01
3.649854631877212341e+03	2.649221209676482225e+00	1.402969357772920977e+00	1.980647155137032767e-01
3.652475320981502591e+03	2.644063007748842953e+00	1.465447160584081310e+00	2.028325344655446671e-01
3.655095792496362265e+03	2.638911401497567866e+00	1.463108191838434990e+00	1.997444398232202378e-01
3.657716046421791816e+03	2.633766395085678891e+00	1.472933506448931951e+00	1.996739642684323690e-01
3.660336082757790791e+03	2.628627992693437054e+00	1.382465601941708977e+00	1.765213970705488689e-01
3.662955901504359645e+03	2.623496198518407763e+00	1.452016376415981469e+00	1.964943786358527567e-01
3.665575502661497467e+03	2.618371016775526972e+00	1.492075960466016982e+00	1.995928641593917030e-01
3.668194886229205167e+03	2.613252451697169132e+00	1.487170580504704631e+00	1.979799822999638304e-01
3.670814052207482291e+03	2.608140507533192931e+00	1.534156199084188321e+00	2.054101783721098973e-01
3.673433000596329293e+03	2.603035188551033219e+00	1.455170925878979116e+00	1.893907646131232636e-01
3.676051731395745264e+03	2.597936499035740088e+00	1.456520905377657327e+00	1.832306418059527486e-01
3.678670244605731114e+03	2.592844443290060585e+00	1.518546411383935979e+00	1.995629163458411404e-01
3.681288540226286386e+03	2.587759025634491561e+00	1.573696768748042096e+00	2.098101415580374551e-01
3.683906618257411537e+03	2.582680250407344502e+00	1.543643107734944619e+00	2.032487145182949873e-01
3.686524478699106112e+03	2.577608121964821031e+00	1.552197529280769261e+00	2.001550816323019177e-01
3.689142121551370110e+03	2.572542644681053758e+00	1.563597768651938225e+00	2.042657738273848389e-01
3.691759546814203532e+03	2.567483822948201766e+00	1.526842959972619651e+00	2.027843751150174845e-01
3.694376754487607286e+03	2.562431661176487907e+00	1.550144942517176716e+00	2.025743317733628979e-01
3.696993744571579555e+03	2.557386163794272527e+00	1.544737959688907036e+00	2.026745008256910230e-01
3.699610517066122156e+03	2.552347335248120963e+00	1.549164228830584467e+00	1.977866127841300670e-01
3.702227071971233272e+03	2.547315180002859059e+00	1.579808317278683649e+00	1.990296153607815088e-01
3.704843409286914721e+03	2.542289702541644658e+00	1.624496625638331082e+00	2.036047892080775357e-01
3.707459529013165593e+03	2.537270907366028005e+00	1.621104138459396937e+00	2.016240593636565159e-01
3.710075431149986798e+03	2.532258798996019244e+00	1.605924038507001272e+00	2.044091722914423703e-01
3.712691115697376517e+03	2.527253381970142598e+00	1.580522718662925818e+00	2.023640947482095720e-01
3.715306582655335660e+03	2.522254660845508312e+00	1.627558706536801791e+00	1.953041877011478800e-01
3.717921832023865136e+03	2.517262640197876600e+00	1.619358485467574882e+00	1.852838143493067968e-01
3.720536863802964035e+03	2.512277324621714492e+00	1.628886415143973698e+00	1.859873249582450760e-01
3.723151677992631448e+03	2.507298718730272657e+00	1.663109599950771900e+00	1.964762444403573560e-01
3.725766274592870104e+03	2.502326827155626709e+00	1.701588370622648894e+00	1.958850799924183317e-01
3.728380653603677274e+03	2.497361654548766019e+00	1.711998730651237421e+00	1.968970329394889029e-01
3.730994815025053867e+03	2.492403205579631464e+00	1.693820283929658110e+00	1.843794262620439828e-01
3.733608758856999884e+03	2.487451484937203361e+00	1.736123540597501957e+00	1.960744821759804191e-01
3.736222485099516234e+03	2.482506497329540096e+00	1.800032058469448470e+00	2.016552627866345371e-01
3.738835993752602008e+03	2.477568247483870945e+00	1.855348916257854697e+00	1.986086615616571294e-01
3.741449284816256295e+03	2.472636740146623158e+00	1.870249913607063164e+00	1.946287458135069204e-01
3.744062358290480915e+03	2.467711980083514778e+00	1.891709672551830534e+00	1.886846698503538422e-01
3.746675214175275869e+03	2.462793972079597715e+00	1.925678803535489703e+00	1.810817288018383986e-01
3.749287852470639336e+03	2.457882720939325250e+00	1.982091739641575812e+00	1.914347191659093450e-01
3.751900273176572227e+03	2.452978231486630634e+00	1.939733138138862056e+00	1.984159382214095713e-01
3.754512476293075451e+03	2.448080508564960844e+00	1.967853455482441394e+00	1.995643091016228166e-01
3.757124461820147189e+03	2.443189557037358295e+00	1.880388122593826816e+00	1.923523417797163848e-01
3.759736229757789260e+03	2.438305381786515902e+00	1.892771688111007711e+00	1.912709160850368517e-01
3.762347780106000755e+03	2.433427987714835261e+00	1.878288683578343443e+00	1.849664615881970453e-01
3.764959112864781673e+03	2.428557379744499922e+00	1.913962867030039039e+00	1.875399914584318095e-01
3.767570228034132924e+03	2.423693562817529568e+00	1.974260480710751331e+00	1.779294893764776231e-01
3.770181125614052689e+03	2.418836541895830639e+00	2.111223986145703613e+00	1.800401028035361339e-01
3.772791805604541878e+03	2.413986321961276715e+00	2.161275705953346726e+00	1.765024218540814094e-01
3.775402268005601400e+03	2.409142908015753815e+00	2.133285775525031625e+00	1.699430548926170181e-01
3.778012512817229435e+03	2.404306305081231887e+00	2.176965870837905381e+00	1.700365470106131316e-01
3.780622540039427804e+03	2.399476518199806563e+00	2.190292496573958303e+00	1.795997350431990103e-01
3.783232349672195596e+03	2.394653552433792409e+00	2.125099052412555700e+00	1.807756214118278471e-01
3.785841941715533721e+03	2.389837412865744692e+00	2.179658943376115765e+00	1.736816711666066271e-01
3.788451316169440361e+03	2.385028104598544196e+00	2.179417951124896113e+00	1.667684580744791534e-01
3.791060473033916423e+03	2.380225632755446075e+00	2.154477639234151809e+00	1.658673289034433285e-01
3.793669412308962819e+03	2.375430002480138914e+00	2.214266021057943679e+00	1.791488357346542049e-01
3.796278133994578639e+03	2.370641218936814010e+00	2.117575472906445544e+00	1.716752074550572660e-01
3.798886638090763881e+03	2.365859287310203118e+00	2.100681377134197447e+00	1.778249695069902547e-01
3.801494924597518548e+03	2.361084212805659277e+00	2.022201410631893737e+00	1.773795103135163420e-01
3.804102993514842638e+03	2.356316000649195885e+00	2.041936887184716998e+00	1.794358196959790486e-01
3.806710844842736151e+03	2.351554656087556427e+00	2.094098068129904622e+00	1.734388887010681057e-01
3.809318478581199997e+03	2.346800184388261545e+00	2.195277960552453500e+00	1.697835697845632152e-01
3.811925894730232358e+03	2.342052590839684978e+00	2.286695860642272038e+00	1.567040705350737917e-01
3.814533093289835051e+03	2.337311880751081539e+00	2.372880858205982602e+00	1.586440760657522597e-01
3.817140074260007168e+03	2.332578059452662167e+00	2.488689710983623460e+00	1.775516909358515194e-01
3.819746837640748709e+03	2.327851132295647663e+00	2.520343416613676446e+00	1.746483669814346829e-01
3.822353383432059672e+03	2.323131104652318868e+00	2.500476738572693147e+00	1.555292977666035137e-01
3.824959711633940060e+03	2.318417981916072623e+00	2.596249865811157687e+00	1.531098705992177123e-01
3.827565822246390780e+03	2.313711769501490600e+00	2.717754307166106997e+00	1.633482993550892381e-01
3.830171715269410015e+03	2.309012472844360619e+00	2.649910057100106187e+00	1.544091967690096323e-01
3.832777390702999583e+03	2.304320097401769907e+00	2.769450488692178691e+00	1.571544486529051488e-01
3.835382848547158574e+03	2.299634648652125968e+00	2.892353490877540345e+00	1.633616951173305909e-01
3.837988088801886988e+03	2.294956132095222312e+00	2.852160006124480951e+00	1.511710850033614051e-01
3.840593111467184826e+03	2.290284553252303734e+00	2.908879184517453975e+00	1.659065331639904273e-01
3.843197916543052088e+03	2.285619917666089851e+00	2.846911907454517721e+00	1.619047746820618805e-01
3.845802504029489683e+03	2.280962230900855037e+00	2.754108321034269835e+00	1.471353846430240864e-01
3.848406873926495791e+03	2.276311498542453293e+00	2.866459659243316249e+00	1.595584726319321800e-01
3.851011026234072233e+03	2.271667726198391524e+00	2.847912773566654732e+00	1.751229522311089914e-01
3.853614960952218098e+03	2.267030919497868613e+00	2.720731977639591737e+00	1.525613551193951700e-01
3.856218678080933387e+03	2.262401084091821168e+00	2.589383290405152582e+00	1.555954431175968766e-01
3.858822177620218099e+03	2.257778225652982140e+00	2.422589199387631620e+00	1.573048116203998315e-01
3.861425459570072235e+03	2.253162349875919013e+00	2.436421498075480141e+00	1.629776894287672251e-01
3.864028523930495794e+03	2.248553462477087983e+00	2.420854775433621597e+00	1.430010090788544908e-01
3.866631370701489686e+03	2.243951569194881479e+00	2.468872543713459322e+00	1.433566283777610306e-01
3.869233999883053002e+03	2.239356675789675233e+00	2.602268423541885145e+00	1.344710619296085596e-01
3.871836411475184832e+03	2.234768788043863363e+00	2.578625113175961214e+00	1.381805873360431591e-01
3.874438605477886995e+03	2.230187911761922326e+00	2.672296410107322551e+00	1.537350890973060435e-01
3.877040581891158581e+03	2.225614052770433560e+00	2.683439559910672845e+00	1.419108704427252399e-01
3.879642340715000500e+03	2.221047216918159428e+00	2.756255871910548993e+00	1.385128452982922753e-01
3.882243881949410934e+03	2.216487410076044551e+00	2.849184868744391252e+00	1.467990755530182989e-01
3.884845205594391700e+03	2.211934638137295295e+00	2.737415532161784792e+00	1.202202379084632011e-01
3.887446311649940981e+03	2.207388907017400204e+00	2.700787669080894293e+00	1.319118613134056539e-01
3.890047200116060594e+03	2.202850222654180179e+00	2.580592222967123650e+00	1.341799184242251364e-01
3.892647870992749631e+03	2.198318591007828893e+00	2.530345490431737954e+00	1.350053853515839619e-01
3.895248324280007182e+03	2.193794018060949647e+00	2.392794902033726689e+00	1.365553412557181656e-01
3.897848559977835976e+03	2.189276509818594008e+00	2.245480837734664448e+00	1.248952941112437126e-01
3.900448578086233283e+03	2.184766072308309326e+00	2.055131546866047376e+00	1.238988065980904246e-01
3.903048378605200014e+03	2.180262711580162716e+00	1.902389620260167336e+00	1.413207526000084813e-01
3.905647961534737078e+03	2.175766433706775693e+00	1.648544341711659422e+00	1.498410599002607257e-01
3.908247326874843566e+03	2.171277244783393456e+00	1.501875058977116373e+00	1.477387280170520678e-01
3.910846474625519477e+03	2.166795150927877778e+00	1.448193482161653334e+00	1.370149183643352420e-01
3.913445404786764811e+03	2.162320158280755855e+00	1.638492322692802539e+00	1.369405393990259512e-01
3.916044117358579570e+03	2.157852273005270938e+00	1.874937844946150456e+00	1.305887036445107785e-01
3.918642612340963751e+03	2.153391501287386323e+00	2.044790847905783249e+00	1.259855130272686530e-01
3.921240889733918266e+03	2.148937849335832873e+00	2.223533306279251054e+00	1.245801018191762394e-01
3.923838949537441295e+03	2.144491323382154757e+00	2.361573455226405382e+00	1.103786768139002894e-01
3.926436791751534656e+03	2.140051929680699683e+00	2.415926051200674607e+00	1.078021223260280242e-01
3.929034416376197441e+03	2.135619674508690835e+00	2.506357981804352875e+00	1.199110922352812775e-01
3.931631823411429650e+03	2.131194564166215333e+00	2.493507467385875476e+00	1.157624207398705724e-01
3.934229012857231282e+03	2.126776604976284624e+00	2.554496015427486277e+00	1.176139278926568305e-01
3.936825984713602338e+03	2.122365803284847363e+00	2.279416318143860476e+00	1.172087630793006013e-01
3.939422738980543727e+03	2.117962165460809398e+00	2.090872218928115256e+00	1.223743073730201858e-01
3.942019275658053630e+03	2.113565697896051088e+00	1.748437724855834929e+00	1.213042783082893261e-01
3.944615594746133866e+03	2.109176407005476150e+00	1.562319244418893582e+00	1.297736922372072221e-01
3.947211696244783525e+03	2.104794299227011667e+00	1.493328457225815198e+00	1.275296366564176165e-01
3.949807580154002608e+03	2.100419381021628062e+00	1.659014783275321703e+00	1.153204125291188431e-01
3.952403246473791114e+03	2.096051658873370194e+00	1.986253143691636858e+00	1.077577433316485034e-01
3.954998695204149044e+03	2.091691139289375112e+00	2.243004347361242434e+00	9.547944000816172005e-02
3.957593926345076397e+03	2.087337828799873396e+00	2.480264677554508523e+00	8.767622221897386492e-02
3.960188939896574084e+03	2.082991733958230451e+00	2.633850121251883447e+00	8.900431683439015418e-02
3.962783735858640284e+03	2.078652861340928304e+00	2.710832935258273402e+00	8.941687850689424011e-02
3.965378314231276818e+03	2.074321217547610452e+00	2.743051428753627619e+00	8.996175253121416193e-02
3.967972675014482775e+03	2.069996809201092525e+00	2.910814380135059665e+00	9.496597774484615007e-02
3.970566818208258155e+03	2.065679642947335637e+00	2.818667063030431130e+00	9.735660368451823365e-02
3.973160743812603869e+03	2.061369725455496127e+00	2.840256635592350865e+00	8.609272821207600290e-02
3.975754451827518096e+03	2.057067063417918895e+00	2.826367055138608197e+00	8.663875662957873369e-02
3.978347942253001747e+03	2.052771663550153391e+00	2.765033829958813527e+00	8.519485690916217546e-02
3.980941215089055731e+03	2.048483532590941625e+00	2.793059098186601030e+00	8.171081983009974292e-02
3.983534270335679139e+03	2.044202677302227489e+00	2.899266875277286104e+00	8.460706551423975708e-02
3.986127107992871970e+03	2.039929104469178078e+00	2.903398107937044337e+00	8.552481172942255627e-02
3.988719728060634225e+03	2.035662820900167702e+00	2.948304926742869814e+00	8.180265201775134554e-02
3.991312130538965903e+03	2.031403833426776551e+00	3.114857599930869192e+00	9.793064191299215293e-02
3.993904315427867004e+03	2.027152148903788476e+00	3.165309407159119015e+00	9.140037449497002975e-02
3.996496282727338439e+03	2.022907774209221188e+00	3.092741512785143865e+00	8.418251627713473073e-02
3.999088032437378388e+03	2.018670716244270746e+00	3.129831490087830570e+00	8.672745222414585120e-02
4.001679564557988670e+03	2.014440981933329322e+00	3.060800012639531165e+00	7.653450134041676900e-02
4.004270879089168375e+03	2.010218578223986530e+00	2.933957562616716253e+00	7.639946564193141054e-02
4.006861976030917504e+03	2.006003512087001006e+00	2.883636881063361912e+00	8.138236950590244101e-02
4.009452855383236056e+03	2.001795790516311069e+00	2.848069986914242513e+00	7.666349830141463984e-02
4.012043517146124941e+03	1.997595420529002297e+00	2.766708982408040640e+00	7.291755732052196404e-02
4.014633961319581431e+03	1.993402409165303535e+00	2.704897386181440044e+00	7.378837074197207302e-02
4.017224187903609163e+03	1.989216763488566464e+00	2.748290800367497955e+00	6.791698782489503927e-02
4.019814196898206319e+03	1.985038490585249615e+00	2.817267917452111359e+00	7.077289828489292944e-02
4.022403988303372898e+03	1.980867597564902827e+00	2.785598312331014625e+00	7.911945716723348121e-02
4.024993562119108901e+03	1.976704091560147036e+00	2.690579883662774563e+00	7.048833161751157095e-02
4.027582918345414328e+03	1.972547979726639866e+00	2.696343480610016830e+00	6.769765662126091266e-02
4.030172056982289178e+03	1.968399269243056526e+00	2.658389060334010789e+00	7.090558657923357044e-02
4.032760978029734360e+03	1.964257967311062281e+00	2.639288322316589497e+00	7.219222464848039367e-02
4.035349681487748057e+03	1.960124081155296683e+00	2.589083269156581046e+00	6.271178788330317166e-02
4.037938167356332087e+03	1.955997618023310514e+00	2.602931042540331585e+00	6.395321713587184820e-02
4.040526435635485541e+03	1.951878585185579995e+00	2.576563007934383531e+00	6.087631762671456837e-02
4.043114486325208418e+03	1.947766989935423299e+00	2.640990892785038291e+00	6.166102865367700803e-02
4.045702319425500718e+03	1.943662839589006985e+00	2.530454315951219169e+00	6.749209774733028189e-02
4.048289934936362442e+03	1.939566141485266515e+00	2.501116283421611186e+00	6.414957874906329627e-02
4.050877332857793590e+03	1.935476902985900916e+00	2.547555746813628730e+00	6.641227632307836193e-02
4.053464513189795071e+03	1.931395131475304172e+00	2.429054099663108701e+00	5.833372797719478531e-02
4.056051475932365975e+03	1.927320834360548796e+00	2.328926608364980222e+00	6.189406804668667189e-02
4.058638221085505393e+03	1.923254019071302112e+00	2.247289532624051844e+00	5.509875872740870040e-02
4.061224748649215144e+03	1.919194693059796952e+00	2.239722215270521399e+00	4.824433283177782111e-02
4.063811058623494318e+03	1.915142863800796569e+00	2.269620987612251728e+00	4.824965411127185577e-02
4.066397151008343826e+03	1.911098538791501600e+00	2.425436835760258258e+00	5.796540171440422301e-02
4.068983025803761848e+03	1.907061725551522091e+00	2.438733681477933235e+00	5.440223242291909733e-02
4.071568683009749293e+03	1.903032431622812437e+00	2.468529572600090205e+00	5.231736227790469845e-02
4.074154122626307071e+03	1.899010664569609652e+00	2.540341128479415289e+00	5.421811571141638142e-02
4.076739344653434273e+03	1.894996431978366980e+00	2.531518924554360783e+00	5.855743511032301257e-02
4.079324349091130898e+03	1.890989741457693052e+00	2.420932937824117115e+00	5.998028953450435657e-02
4.081909135939396947e+03	1.886990600638274174e+00	2.253567207606258282e+00	5.711835014433668672e-02
4.084493705198232419e+03	1.882999017172834133e+00	2.134296641561832075e+00	4.309127514318125685e-02
4.087078056867637315e+03	1.879014998736007636e+00	2.021955841040778079e+00	4.136415954941862622e-02
4.089662190947612544e+03	1.875038553024311438e+00	2.082590449082330597e+00	3.842533797079315805e-02
4.092246107438157196e+03	1.871069687756041544e+00	2.204853279159097124e+00	4.921107417595067812e-02
4.094829806339270363e+03	1.867108410671195928e+00	2.243003126738125630e+00	4.507856179772086469e-02
4.097413287650953862e+03	1.863154729531408815e+00	2.249136847349029189e+00	4.716321534293112239e-02
