# lambda [A]	Dlambda [A]	specval [counts]
4.066397151008343826e+03	1.911098538791501600e+00	5.076306057980687569e+02
4.068983025803761848e+03	1.907061725551522091e+00	4.478948439667880734e+02
4.071568683009749293e+03	1.903032431622812437e+00	4.587152444872160686e+02
4.074154122626307071e+03	1.899010664569609652e+00	4.860749257115387536e+02
4.076739344653434273e+03	1.894996431978366980e+00	4.625698303856658526e+02
4.079324349091130898e+03	1.890989741457693052e+00	4.753189285630055565e+02
4.081909135939396947e+03	1.886990600638274174e+00	4.766019110137225425e+02
4.084493705198232419e+03	1.882999017172834133e+00	4.536410336417604299e+02
4.087078056867637315e+03	1.879014998736007636e+00	5.161023924991818603e+02
4.089662190947612544e+03	1.875038553024311438e+00	5.518673235293035759e+02
4.092246107438157196e+03	1.871069687756041544e+00	5.650400777357563129e+02
4.094829806339270363e+03	1.867108410671195928e+00	5.407312682858223525e+02
4.097413287650953862e+03	1.863154729531408815e+00	3.914947366892544665e+02
4.099996551373206785e+03	1.859208652119828997e+00	4.627403223984146621e+02
4.102579597506029131e+03	1.855270186241061658e+00	4.663139169844755543e+02
4.105162426049421811e+03	1.851339339721069788e+00	4.246701345873721607e+02
4.107745037003383004e+03	1.847416120407057383e+00	4.735267777088224079e+02
4.110327430367914531e+03	1.843500536167402393e+00	5.322144506928912051e+02
4.112909606143015480e+03	1.839592594891525490e+00	4.419308664936777404e+02
4.115491564328684944e+03	1.835692304489837889e+00	4.529598335648053649e+02
4.118073304924924741e+03	1.831799672893567488e+00	4.143248047303619046e+02
4.120654827931734872e+03	1.827914708054676041e+00	4.806108356908457608e+02
4.123236133349113516e+03	1.824037417945785444e+00	3.974188381832524328e+02
4.125817221177061583e+03	1.820167810559998767e+00	3.672257017080332275e+02
4.128398091415579984e+03	1.816305893910822089e+00	3.473879434019252130e+02
4.130978744064667808e+03	1.812451676032024173e+00	3.492718329253539764e+02
4.133559179124324146e+03	1.808605164977527213e+00	3.397065025314067839e+02
4.136139396594550817e+03	1.804766368821258737e+00	3.898060596903850410e+02
