# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.7478e+03	4.0e+00	1.4810e+00	1.0e-01
3.7503e+03	4.0e+00	1.5002e+00	1.0e-01
3.7527e+03	4.0e+00	1.5029e+00	1.0e-01
3.7552e+03	4.0e+00	1.4801e+00	9.8e-02
3.7577e+03	4.0e+00	1.4988e+00	9.9e-02
3.7602e+03	4.0e+00	1.5107e+00	1.0e-01
3.7627e+03	4.0e+00	1.5045e+00	9.9e-02
3.7652e+03	4.0e+00	1.5319e+00	1.0e-01
3.7677e+03	3.9e+00	1.5367e+00	1.0e-01
3.7702e+03	3.9e+00	1.5479e+00	1.0e-01
3.7726e+03	3.9e+00	1.5294e+00	9.6e-02
3.7751e+03	3.9e+00	1.5493e+00	9.8e-02
3.7776e+03	3.9e+00	1.5732e+00	9.8e-02
3.7801e+03	3.9e+00	1.5664e+00	9.9e-02
3.7826e+03	3.9e+00	1.5308e+00	9.6e-02
3.7851e+03	3.9e+00	1.5844e+00	1.0e-01
3.7876e+03	3.9e+00	1.5513e+00	9.8e-02
3.7901e+03	3.9e+00	1.5508e+00	9.9e-02
3.7925e+03	3.8e+00	1.5428e+00	9.8e-02
3.7950e+03	3.8e+00	1.5557e+00	9.7e-02
3.7975e+03	3.8e+00	1.5634e+00	9.9e-02
3.8000e+03	3.8e+00	1.6006e+00	1.0e-01
3.8025e+03	3.8e+00	1.6083e+00	1.0e-01
3.8050e+03	3.8e+00	1.6074e+00	1.0e-01
3.8075e+03	3.8e+00	1.6381e+00	1.0e-01
3.8100e+03	3.8e+00	1.5953e+00	1.0e-01
3.8124e+03	3.8e+00	1.5666e+00	1.0e-01
3.8149e+03	3.8e+00	1.5806e+00	9.8e-02
3.8174e+03	3.7e+00	1.5628e+00	9.6e-02
3.8199e+03	3.7e+00	1.5424e+00	9.5e-02
3.8224e+03	3.7e+00	1.5575e+00	9.6e-02
3.8249e+03	3.7e+00	1.5289e+00	9.7e-02
3.8274e+03	3.7e+00	1.5445e+00	9.8e-02
