# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.9964e+03	3.1e+00	6.25634e+02	2.6e+01
3.9989e+03	3.1e+00	6.42184e+02	1.1e+01
4.0014e+03	3.1e+00	5.93821e+02	1.7e+01
4.0038e+03	3.1e+00	5.96211e+02	1.0e+01
4.0063e+03	3.1e+00	5.87649e+02	1.3e+01
4.0088e+03	3.1e+00	6.09714e+02	1.5e+01
4.0113e+03	3.1e+00	6.07178e+02	1.4e+01
4.0138e+03	3.1e+00	5.94504e+02	1.2e+01
4.0163e+03	3.0e+00	5.72932e+02	2.5e+01
4.0187e+03	3.0e+00	5.55316e+02	1.9e+01
4.0212e+03	3.0e+00	6.10335e+02	2.2e+01
4.0237e+03	3.0e+00	5.66938e+02	2.0e+01
4.0262e+03	3.0e+00	5.27893e+02	1.5e+01
4.0287e+03	3.0e+00	5.38531e+02	1.1e+01
4.0312e+03	3.0e+00	5.79014e+02	2.6e+01
4.0336e+03	3.0e+00	5.35777e+02	2.0e+01
4.0361e+03	3.0e+00	5.40134e+02	2.5e+01
4.0386e+03	3.0e+00	5.56505e+02	2.1e+01
4.0411e+03	3.0e+00	5.68670e+02	1.8e+01
4.0436e+03	3.0e+00	6.25650e+02	2.1e+01
4.0461e+03	3.0e+00	5.76846e+02	2.7e+01
4.0486e+03	2.9e+00	5.95718e+02	2.2e+01
4.0510e+03	2.9e+00	5.80282e+02	1.3e+01
4.0535e+03	2.9e+00	5.40013e+02	6.1e+00
4.0560e+03	2.9e+00	5.43485e+02	1.9e+01
4.0585e+03	2.9e+00	5.05394e+02	1.4e+01
4.0610e+03	2.9e+00	4.90241e+02	1.5e+01
4.0635e+03	2.9e+00	4.97870e+02	5.4e+00
4.0659e+03	2.9e+00	4.61979e+02	1.0e+01
4.0684e+03	2.9e+00	4.88738e+02	8.7e+00
4.0709e+03	2.9e+00	5.18271e+02	1.7e+01
4.0734e+03	2.9e+00	5.22137e+02	1.3e+01
4.0759e+03	2.9e+00	5.44858e+02	1.1e+01
4.0784e+03	2.9e+00	5.49819e+02	1.9e+01
4.0808e+03	2.9e+00	4.65765e+02	1.6e+01
4.0833e+03	2.8e+00	4.76691e+02	1.4e+01
4.0858e+03	2.8e+00	4.55031e+02	1.1e+01
4.0883e+03	2.8e+00	4.39814e+02	1.6e+01
4.0908e+03	2.8e+00	4.64981e+02	1.3e+01
4.0933e+03	2.8e+00	4.49003e+02	1.1e+01
4.0957e+03	2.8e+00	4.22174e+02	1.6e+01
4.0982e+03	2.8e+00	4.10813e+02	4.6e+00
4.1007e+03	2.8e+00	4.28047e+02	1.1e+01
4.1032e+03	2.8e+00	4.36936e+02	8.8e+00
4.1057e+03	2.8e+00	4.51471e+02	1.4e+01
4.1082e+03	2.8e+00	4.51459e+02	1.7e+01
4.1106e+03	2.8e+00	4.27939e+02	1.2e+01
4.1131e+03	2.8e+00	4.10128e+02	6.0e+00
4.1156e+03	2.8e+00	4.31561e+02	6.2e+00
4.1181e+03	2.8e+00	4.20644e+02	7.0e+00
4.1206e+03	2.7e+00	4.11710e+02	9.8e+00
4.1231e+03	2.7e+00	4.14604e+02	4.1e+00
4.1255e+03	2.7e+00	4.22062e+02	5.1e+00
4.1280e+03	2.7e+00	4.10697e+02	1.1e+01
4.1305e+03	2.7e+00	4.09331e+02	1.5e+01
4.1330e+03	2.7e+00	4.15264e+02	6.6e+00
4.1355e+03	2.7e+00	4.18720e+02	1.2e+01
4.1380e+03	2.7e+00	3.85067e+02	1.5e+01
4.1404e+03	2.7e+00	3.61791e+02	6.4e+00
4.1429e+03	2.7e+00	3.57385e+02	1.0e+01
4.1454e+03	2.7e+00	3.42110e+02	8.2e+00
4.1479e+03	2.7e+00	3.54066e+02	8.2e+00
4.1504e+03	2.7e+00	3.31424e+02	7.9e+00
4.1529e+03	2.7e+00	3.41075e+02	1.1e+01
4.1553e+03	2.7e+00	3.91503e+02	8.6e+00
4.1578e+03	2.7e+00	4.23252e+02	1.1e+01
4.1603e+03	2.6e+00	4.68747e+02	1.1e+01
4.1628e+03	2.6e+00	5.02599e+02	1.9e+01
4.1653e+03	2.6e+00	4.54682e+02	1.1e+01
4.1677e+03	2.6e+00	4.05491e+02	9.4e+00
4.1702e+03	2.6e+00	3.74310e+02	9.8e+00
4.1727e+03	2.6e+00	3.47667e+02	5.1e+00
4.1752e+03	2.6e+00	3.47022e+02	8.7e+00
4.1777e+03	2.6e+00	3.43688e+02	6.0e+00
4.1802e+03	2.6e+00	3.53294e+02	5.5e+00
4.1826e+03	2.6e+00	3.65734e+02	4.0e+00
4.1851e+03	2.6e+00	3.85079e+02	3.0e+00
4.1876e+03	2.6e+00	3.86359e+02	7.6e+00
4.1901e+03	2.6e+00	4.13201e+02	8.8e+00
4.1926e+03	2.6e+00	4.05731e+02	1.5e+01
4.1951e+03	2.6e+00	4.72330e+02	1.3e+01
4.1975e+03	2.6e+00	5.47545e+02	1.1e+01
4.2000e+03	2.6e+00	6.09272e+02	1.1e+01
4.2025e+03	2.5e+00	6.30477e+02	1.6e+01
4.2050e+03	2.5e+00	5.93279e+02	4.3e+00
4.2075e+03	2.5e+00	4.93107e+02	1.0e+01
4.2099e+03	2.5e+00	4.05298e+02	1.6e+01
4.2124e+03	2.5e+00	3.40187e+02	1.1e+01
4.2149e+03	2.5e+00	3.20033e+02	7.6e+00
4.2174e+03	2.5e+00	3.31371e+02	4.9e+00
4.2199e+03	2.5e+00	3.22099e+02	8.9e+00
4.2224e+03	2.5e+00	3.22251e+02	1.3e+01
4.2248e+03	2.5e+00	3.22234e+02	1.2e+01
4.2273e+03	2.5e+00	3.38462e+02	6.2e+00
4.2298e+03	2.5e+00	3.36167e+02	6.1e+00
4.2323e+03	2.5e+00	3.28992e+02	8.5e+00
4.2348e+03	2.5e+00	3.17892e+02	5.0e+00
4.2372e+03	2.5e+00	3.12823e+02	1.0e+01
4.2397e+03	2.5e+00	3.18983e+02	7.0e+00
4.2422e+03	2.5e+00	3.20261e+02	8.8e+00
4.2447e+03	2.5e+00	2.90286e+02	6.8e+00
4.2472e+03	2.4e+00	2.90444e+02	5.5e+00
4.2496e+03	2.4e+00	2.88583e+02	7.0e+00
4.2521e+03	2.4e+00	2.81089e+02	7.2e+00
4.2546e+03	2.4e+00	3.12199e+02	7.9e+00
4.2571e+03	2.4e+00	3.64098e+02	1.1e+01
4.2596e+03	2.4e+00	3.87362e+02	1.5e+01
4.2621e+03	2.4e+00	4.47298e+02	9.8e+00
4.2645e+03	2.4e+00	4.37639e+02	1.2e+01
