# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
4.0001e+03	3.1e+00	6.27461e+02	1.2e+01
4.0026e+03	3.1e+00	5.99671e+02	1.2e+01
4.0051e+03	3.1e+00	6.03612e+02	1.2e+01
4.0076e+03	3.1e+00	5.89283e+02	2.2e+01
4.0100e+03	3.1e+00	5.57698e+02	1.5e+01
4.0125e+03	3.1e+00	5.75361e+02	1.0e+01
4.0150e+03	3.1e+00	5.91806e+02	1.7e+01
4.0175e+03	3.0e+00	5.91427e+02	1.8e+01
4.0200e+03	3.0e+00	6.10112e+02	1.1e+01
4.0225e+03	3.0e+00	5.63338e+02	1.2e+01
4.0250e+03	3.0e+00	5.74108e+02	1.9e+01
4.0274e+03	3.0e+00	5.83433e+02	1.1e+01
4.0299e+03	3.0e+00	5.70124e+02	1.2e+01
4.0324e+03	3.0e+00	5.51627e+02	1.5e+01
4.0349e+03	3.0e+00	5.35721e+02	1.9e+01
4.0374e+03	3.0e+00	5.50229e+02	2.2e+01
4.0399e+03	3.0e+00	5.55433e+02	1.6e+01
4.0423e+03	3.0e+00	5.85778e+02	1.3e+01
4.0448e+03	3.0e+00	5.85647e+02	1.4e+01
4.0473e+03	3.0e+00	5.98364e+02	1.5e+01
4.0498e+03	2.9e+00	6.31141e+02	1.5e+01
4.0523e+03	2.9e+00	5.86665e+02	1.9e+01
4.0548e+03	2.9e+00	5.67594e+02	1.0e+01
4.0572e+03	2.9e+00	5.35507e+02	1.2e+01
4.0597e+03	2.9e+00	5.26721e+02	1.5e+01
4.0622e+03	2.9e+00	4.94670e+02	9.7e+00
4.0647e+03	2.9e+00	4.98647e+02	1.2e+01
4.0672e+03	2.9e+00	4.97697e+02	1.9e+01
4.0697e+03	2.9e+00	4.91770e+02	2.2e+01
4.0721e+03	2.9e+00	4.91810e+02	9.9e+00
4.0746e+03	2.9e+00	5.41667e+02	2.1e+01
4.0771e+03	2.9e+00	5.35505e+02	1.8e+01
4.0796e+03	2.9e+00	5.16349e+02	9.9e+00
4.0821e+03	2.9e+00	5.11894e+02	1.0e+01
4.0846e+03	2.8e+00	5.04655e+02	9.2e+00
4.0871e+03	2.8e+00	4.57113e+02	1.4e+01
4.0895e+03	2.8e+00	4.47480e+02	7.0e+00
4.0920e+03	2.8e+00	4.56478e+02	7.0e+00
4.0945e+03	2.8e+00	4.38073e+02	1.5e+01
4.0970e+03	2.8e+00	4.30431e+02	9.3e+00
4.0995e+03	2.8e+00	4.35937e+02	8.1e+00
4.1020e+03	2.8e+00	4.47892e+02	7.5e+00
4.1044e+03	2.8e+00	4.61629e+02	9.4e+00
4.1069e+03	2.8e+00	4.61886e+02	1.2e+01
4.1094e+03	2.8e+00	4.52543e+02	7.8e+00
4.1119e+03	2.8e+00	4.40409e+02	8.0e+00
4.1144e+03	2.8e+00	4.56805e+02	9.8e+00
4.1169e+03	2.8e+00	4.44541e+02	7.8e+00
4.1193e+03	2.8e+00	4.30235e+02	9.9e+00
4.1218e+03	2.7e+00	4.19565e+02	7.3e+00
4.1243e+03	2.7e+00	4.30859e+02	1.1e+01
4.1268e+03	2.7e+00	4.37417e+02	1.2e+01
4.1293e+03	2.7e+00	4.39469e+02	1.8e+01
