# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.6818e+03	4.3e+00	1.8036e+00	2.0e-01
3.6843e+03	4.3e+00	1.7175e+00	1.9e-01
3.6868e+03	4.3e+00	1.7652e+00	1.9e-01
3.6893e+03	4.3e+00	1.7534e+00	1.9e-01
3.6918e+03	4.3e+00	1.7499e+00	1.8e-01
3.6943e+03	4.3e+00	1.8000e+00	2.0e-01
3.6968e+03	4.2e+00	1.7208e+00	1.8e-01
3.6993e+03	4.2e+00	1.7842e+00	1.9e-01
3.7017e+03	4.2e+00	1.8174e+00	1.9e-01
3.7042e+03	4.2e+00	1.7995e+00	1.8e-01
3.7067e+03	4.2e+00	1.8374e+00	1.9e-01
3.7092e+03	4.2e+00	1.8654e+00	1.9e-01
3.7117e+03	4.2e+00	1.8269e+00	1.8e-01
3.7142e+03	4.2e+00	1.8646e+00	1.9e-01
3.7167e+03	4.2e+00	1.8459e+00	1.8e-01
3.7192e+03	4.1e+00	1.9217e+00	1.9e-01
3.7217e+03	4.1e+00	1.9186e+00	1.8e-01
3.7241e+03	4.1e+00	1.9404e+00	1.8e-01
3.7266e+03	4.1e+00	2.0189e+00	2.0e-01
3.7291e+03	4.1e+00	1.9301e+00	1.8e-01
3.7316e+03	4.1e+00	1.9986e+00	1.8e-01
3.7341e+03	4.1e+00	2.0520e+00	1.9e-01
3.7366e+03	4.1e+00	2.0849e+00	1.8e-01
3.7391e+03	4.1e+00	2.1571e+00	1.9e-01
3.7416e+03	4.0e+00	2.0893e+00	1.8e-01
3.7440e+03	4.0e+00	2.1489e+00	1.9e-01
3.7465e+03	4.0e+00	2.1694e+00	2.0e-01
3.7490e+03	4.0e+00	2.1348e+00	1.7e-01
3.7515e+03	4.0e+00	2.2365e+00	1.8e-01
3.7540e+03	4.0e+00	2.3338e+00	1.7e-01
3.7565e+03	4.0e+00	2.4253e+00	1.7e-01
3.7590e+03	4.0e+00	2.3934e+00	1.6e-01
3.7615e+03	4.0e+00	2.3957e+00	1.7e-01
3.7639e+03	4.0e+00	2.3677e+00	1.8e-01
3.7664e+03	3.9e+00	2.2962e+00	1.6e-01
3.7689e+03	3.9e+00	2.3347e+00	1.7e-01
3.7714e+03	3.9e+00	2.4083e+00	1.6e-01
3.7739e+03	3.9e+00	2.5929e+00	1.5e-01
3.7764e+03	3.9e+00	2.7396e+00	1.5e-01
3.7789e+03	3.9e+00	2.9309e+00	1.5e-01
3.7814e+03	3.9e+00	3.0413e+00	1.6e-01
3.7838e+03	3.9e+00	3.0536e+00	1.5e-01
3.7863e+03	3.9e+00	3.0232e+00	1.4e-01
3.7888e+03	3.9e+00	2.9390e+00	1.6e-01
3.7913e+03	3.8e+00	2.7891e+00	1.6e-01
3.7938e+03	3.8e+00	2.6706e+00	1.6e-01
3.7963e+03	3.8e+00	2.5233e+00	1.4e-01
3.7988e+03	3.8e+00	2.7213e+00	1.5e-01
3.8012e+03	3.8e+00	2.9612e+00	1.5e-01
3.8037e+03	3.8e+00	3.1831e+00	1.3e-01
3.8062e+03	3.8e+00	3.4500e+00	1.2e-01
3.8087e+03	3.8e+00	3.6666e+00	1.2e-01
3.8112e+03	3.8e+00	3.9183e+00	1.1e-01
3.8137e+03	3.8e+00	4.0075e+00	1.1e-01
3.8162e+03	3.7e+00	4.0624e+00	1.0e-01
